"","P","ll","copula","params1","params2"
"39","4","100.484994208127","huslerReissCopula","2.15959150026548",NA
"40","4","116.532959653029","tevCopula","0.895828286076401","1.98521967773441"
"41","4","127.004477421221","tCopula","0.854461806139643","8.9964482250564"
"42","4","123.53738548552","rot gumbelCopula","2.72789192511832",NA
"43","4","122.13224557224","rot galambosCopula","2.01243659381931",NA
"44","4","112.027688575099","rot huslerReissCopula","2.34481667637736",NA
"45","5","0","Independent",NA,NA
"46","5","154.738347296636","normalCopula","0.82578635833082",NA
"47","5","19.4235565925459","claytonCopula","4.56786819781411",NA
"48","5","147.203899833533","gumbelCopula","2.51788718739846",NA
"49","5","145.109553587212","galambosCopula","1.79708623427819",NA
"50","5","130.963681751433","huslerReissCopula","2.0996454096453",NA
"51","5","150.501679225818","tevCopula","0.909738151009628","2.82458357913997"
"52","5","158.375381200789","tCopula","0.835727856222878","13.1650844701583"
"53","5","140.366948796771","rot gumbelCopula","2.44682234705023",NA
"54","5","138.986327884224","rot galambosCopula","1.71682554528052",NA
"55","5","132.403885756777","rot huslerReissCopula","2.11674676743064",NA
"56","6","0","Independent",NA,NA
"57","6","135.0469664458","normalCopula","0.861899760733743",NA
"58","6","24.9074983965233","claytonCopula","5.51789786872702",NA
"59","6","125.063972136359","gumbelCopula","2.74800452874938",NA
"60","6","124.364085929994","galambosCopula","2.02733298796811",NA
"61","6","119.622034117341","huslerReissCopula","2.47579793926782",NA
"62","6","125.09399001475","tevCopula","0.943101253054602","4.06666565256205"
"63","6","135.049330822366","tCopula","0.862141672696658","224.176823988502"
"64","6","122.735819515738","rot gumbelCopula","2.73744396358536",NA
"65","6","121.30156391598","rot galambosCopula","2.01231841820177",NA
"66","6","113.650861413785","rot huslerReissCopula","2.37547009262014",NA
"67","7","0","Independent",NA,NA
"68","7","193.534116517582","normalCopula","0.89497081912424",NA
"69","7","154.449218257147","claytonCopula","7.28879701656648",NA
"70","7","159.881622438626","gumbelCopula","2.94281460525298",NA
"71","7","157.083940646328","galambosCopula","2.20518670789173",NA
"72","7","1.17683640610267e-14","huslerReissCopula","0.0415521107738765",NA
"73","7","165.907527684834","tevCopula","0.926412187080518","2.04423821958873"
"74","7","197.422768075139","tCopula","0.902333621702053","9.09642052303824"
"75","7","211.014491391425","rot gumbelCopula","3.57359030474588",NA
"76","7","210.415149841983","rot galambosCopula","2.87751759969449",NA
"77","7","201.015877349296","rot huslerReissCopula","3.37602636876674",NA
"78","8","0","Independent",NA,NA
"79","8","216.265589951131","normalCopula","0.912041671390284",NA
"80","8","121.176941518631","claytonCopula","8.20983858551667",NA
"81","8","189.924660397774","gumbelCopula","3.33158135715492",NA
"82","8","187.195127299724","galambosCopula","2.6002405116644",NA
