"","D","W","ll","copula","params1","params2"
"90","1024","128","0.00921347267208472","normalCopula","0.00399337049121817",NA
"91","1024","128","-1.59644316580141","claytonCopula","0.0238459000755612",NA
"92","1024","128","0.0105408136183014","gumbelCopula","1.00246436447323",NA
"93","1024","128","0.188648950241047","galambosCopula","0.158914854962909",NA
"94","1024","128","0.214616299043442","huslerReissCopula","0.406221508038136",NA
"95","1024","128","0.200781664194225","tevCopula","0.701424174450807","37.3911095467667"
"96","1024","128","0.00282972272852478","tCopula","0.00400434654043837","7244.87218475836"
"97","1024","128","-1.34090430579156e-06","rot gumbelCopula","1.00000001490116",NA
"98","1024","128","-1.99441574367406e-11","rot galambosCopula","0.0239898787496708",NA
"99","1024","128","-1.36973765663471e-11","rot huslerReissCopula","0.136012822616794",NA
"100","1408","64","0","Independent",NA,NA
"101","1408","64","6.35533069631172","normalCopula","-0.104556964971042",NA
"102","1408","64","0.659443748059727","claytonCopula","-0.128418901461134",NA
"103","1408","64","-2.58056668968223e-06","gumbelCopula","1.00000001490116",NA
"104","1408","64","-Inf","galambosCopula",NA,NA
"105","1408","64","-Inf","huslerReissCopula",NA,NA
"106","1408","64","-Inf","tevCopula",NA,NA
"107","1408","64","6.49010304808202","tCopula","-0.105350490949044","50.6025078483463"
"108","1408","64","-2.21522079537511e-06","rot gumbelCopula","1.00000001490116",NA
"109","1408","64","-Inf","rot galambosCopula",NA,NA
"110","1408","64","-Inf","rot huslerReissCopula",NA,NA
"111","1408","96","0","Independent",NA,NA
"112","1408","96","0.0579256257951977","normalCopula","-0.0100127785076082",NA
"113","1408","96","-0.387256966414791","claytonCopula","0.0115538277720654",NA
"114","1408","96","-2.75948700347766e-07","gumbelCopula","1.00000001490116",NA
"115","1408","96","-8.78186412486042e-12","galambosCopula","0.0239669117804745",NA
"116","1408","96","4.10782519111306e-15","huslerReissCopula","0.103296419337521",NA
"117","1408","96","-Inf","tevCopula",NA,NA
"118","1408","96","0.0574623948784247","tCopula","-0.0100018022019226","12259.5706544563"
"119","1408","96","-6.20081644283135e-07","rot gumbelCopula","1.00000001490116",NA
"120","1408","96","-8.58579873864767e-12","rot galambosCopula","0.0232313724739643",NA
"121","1408","96","-2.65343302885413e-14","rot huslerReissCopula","0.0106010261168964",NA
"122","1408","128","0","Independent",NA,NA
"123","1408","128","0.0221417446313361","normalCopula","-0.0061906551078747",NA
"124","1408","128","0.62250271829189","claytonCopula","0.0329024642130475",NA
"125","1408","128","-5.19348729150794e-07","gumbelCopula","1.00000001490116",NA
"126","1408","128","-1.89126492244967e-12","galambosCopula","0.0220655409041405",NA
"127","1408","128","-1.07219788603396e-11","huslerReissCopula","0.134958838758839",NA
"128","1408","128","-Inf","tevCopula",NA,NA
"129","1408","128","3.43624880343266","tCopula","-0.000104848399713916","12.127486295073"
"130","1408","128","1.0939467695063","rot gumbelCopula","1.01799353686605",NA
"131","1408","128","0.764351811136681","rot galambosCopula","0.180455354583147",NA
"132","1408","128","0.696532400092761","rot huslerReissCopula","0.430764524462347",NA
