"","P","D","W","ll","copula","params1","params2"
"85","8","256","64","2.31933616696103","tCopula","0.297922044459838","13.8052293556817"
"86","8","256","64","1.63195397499578","rot gumbelCopula","1.19787451455622",NA
"87","8","256","64","1.56015557516845","rot galambosCopula","0.449294195611446",NA
"88","8","256","64","1.53031889955351","rot huslerReissCopula","0.798872409808482",NA
"89","9","256","64","0","Independent",NA,NA
"90","9","256","64","1.84694341079255","normalCopula","-0.264987500355508",NA
"91","9","256","64","0.689651198659226","claytonCopula","-0.0890132406847052",NA
"92","9","256","64","-2.40622573435822e-07","gumbelCopula","1.00000001490116",NA
"93","9","256","64","-Inf","galambosCopula",NA,NA
"94","9","256","64","-Inf","huslerReissCopula",NA,NA
"95","9","256","64","-Inf","tevCopula",NA,NA
"96","9","256","64","3.4392169860528","tCopula","-0.293295492511279","2.80506786211261"
"97","9","256","64","-2.70928507350998e-07","rot gumbelCopula","1.00000001490116",NA
"98","9","256","64","-Inf","rot galambosCopula",NA,NA
"99","9","256","64","-Inf","rot huslerReissCopula",NA,NA
"100","10","256","64","0","Independent",NA,NA
"101","10","256","64","0.993990443338283","normalCopula","0.198755952340779",NA
"102","10","256","64","0.484839397037609","claytonCopula","0.297412450926058",NA
"103","10","256","64","0.958143144446117","gumbelCopula","1.14039202645554",NA
"104","10","256","64","0.894468927124829","galambosCopula","0.384735903825318",NA
"105","10","256","64","0.830594309070657","huslerReissCopula","0.709719181885373",NA
"106","10","256","64","0.998071970428167","tevCopula","0.0768780877092056","2.56518149277732"
"107","10","256","64","0.993344232582779","tCopula","0.199077896246903","5169.47146803911"
"108","10","256","64","0.422470797765461","rot gumbelCopula","1.09495648782175",NA
"109","10","256","64","0.675773022526886","rot galambosCopula","0.354419692704071",NA
"110","10","256","64","0.757325284842098","rot huslerReissCopula","0.700459292852011",NA
"111","11","256","64","0","Independent",NA,NA
"112","11","256","64","0.00343435304369355","normalCopula","0.0120334149017064",NA
"113","11","256","64","0.0988078560236537","claytonCopula","0.0706198374925936",NA
"114","11","256","64","0.027297920257569","gumbelCopula","1.01919045470075",NA
"115","11","256","64","-Inf","galambosCopula",NA,NA
"116","11","256","64","-Inf","huslerReissCopula",NA,NA
"117","11","256","64","0.106393439094278","tevCopula","0.706772074119927","23.6111114319482"
"118","11","256","64","1.83357244861105","tCopula","-0.116424620876436","2.17576265415916"
"119","11","256","64","0.0993512256017664","rot gumbelCopula","1.03715962538571",NA
"120","11","256","64","-Inf","rot galambosCopula",NA,NA
"121","11","256","64","-Inf","rot huslerReissCopula",NA,NA
"122","12","256","64","0","Independent",NA,NA
"123","12","256","64","4.92959549042821","normalCopula","-0.406771812220079",NA
"124","12","256","64","6.16946223007936","claytonCopula","-0.34785414041837",NA
"125","12","256","64","-4.05400984351822e-07","gumbelCopula","1.00000001490116",NA
"126","12","256","64","-Inf","galambosCopula",NA,NA
"127","12","256","64","-Inf","huslerReissCopula",NA,NA
"128","12","256","64","-Inf","tevCopula",NA,NA
"129","12","256","64","4.92821798689187","tCopula","-0.406749096505845","5899.73127205869"
"130","12","256","64","-4.68369408278269e-07","rot gumbelCopula","1.00000001490116",NA
"131","12","256","64","-Inf","rot galambosCopula",NA,NA
"132","12","256","64","-Inf","rot huslerReissCopula",NA,NA
"133","13","256","64","0","Independent",NA,NA
"134","13","256","64","1.90942508170826","normalCopula","-0.269253093458611",NA
"135","13","256","64","2.59995760486939","claytonCopula","-0.251301287969713",NA
"136","13","256","64","-2.03143395435118e-07","gumbelCopula","1.00000001490116",NA
"137","13","256","64","-Inf","galambosCopula",NA,NA
"138","13","256","64","-Inf","huslerReissCopula",NA,NA
"139","13","256","64","-Inf","tevCopula",NA,NA
"140","13","256","64","2.35517771882334","tCopula","-0.224373130825395","3.42504834538224"
"141","13","256","64","-2.98332506984758e-07","rot gumbelCopula","1.00000001490116",NA
"142","13","256","64","-Inf","rot galambosCopula",NA,NA
"143","13","256","64","-Inf","rot huslerReissCopula",NA,NA
"144","14","256","64","0","Independent",NA,NA
"145","14","256","64","0.0516038177963472","normalCopula","0.0465300120473788",NA
"146","14","256","64","-0.151963139091192","claytonCopula","0.0468927624110527",NA
"147","14","256","64","0.138892709117431","gumbelCopula","1.0482131803098",NA
"148","14","256","64","0.165358104450653","galambosCopula","0.26170818944061",NA
"149","14","256","64","0.178589532937197","huslerReissCopula","0.562313635659505",NA
"150","14","256","64","0.168347514838753","tevCopula","0.706408689355923","19.8788377370523"
"151","14","256","64","0.0508592110344124","tCopula","0.0464945879878418","8105.31320269089"
"152","14","256","64","-3.69417233248882e-08","rot gumbelCopula","1.00000001490116",NA
"153","14","256","64","2.33578126070639e-10","rot galambosCopula","0.0405659197272153",NA
"154","14","256","64","1.15841670930194e-08","rot huslerReissCopula","0.207749685422959",NA
"155","15","256","64","0","Independent",NA,NA
"156","15","256","64","0.517993701858949","normalCopula","0.145369341681703",NA
"157","15","256","64","0.892410718605675","claytonCopula","0.269098788986845",NA
"158","15","256","64","0.307074514535072","gumbelCopula","1.07765756227662",NA
"159","15","256","64","0.366816579471154","galambosCopula","0.308600864061517",NA
"160","15","256","64","0.384693567372305","huslerReissCopula","0.625547364496862",NA
"161","15","256","64","0.375803358842188","tevCopula","0.826885177990399","27.9968934239866"
"162","15","256","64","0.633010579400878","tCopula","0.152389591743486","7.09239700520446"
"163","15","256","64","1.0553424261463","rot gumbelCopula","1.14250034016481",NA
"164","15","256","64","0.776060350862208","rot galambosCopula","0.369157876793482",NA
"165","15","256","64","0.691818662336672","rot huslerReissCopula","0.68280287594215",NA
"166","1","256","96","0","Independent",NA,NA
"167","1","256","96","0.0732026838938267","normalCopula","-0.0553862663085693",NA
"168","1","256","96","0.161294867986113","claytonCopula","-0.0608084650610939",NA
"169","1","256","96","-1.22310720059027e-07","gumbelCopula","1.00000001490116",NA
"170","1","256","96","-Inf","galambosCopula",NA,NA
"171","1","256","96","-Inf","huslerReissCopula",NA,NA
"172","1","256","96","-Inf","tevCopula",NA,NA
"173","1","256","96","0.0723493710600023","tCopula","-0.0547709085288793","11097.5154594814"
"174","1","256","96","-1.38101100201349e-07","rot gumbelCopula","1.00000001490116",NA
"175","1","256","96","-Inf","rot galambosCopula",NA,NA
"176","1","256","96","-Inf","rot huslerReissCopula",NA,NA
"177","2","256","96","0","Independent",NA,NA
"178","2","256","96","1.4053638609557","normalCopula","-0.233727922581542",NA
"179","2","256","96","1.23652683116379","claytonCopula","-0.21016456655976",NA
"180","2","256","96","-2.93186045315173e-07","gumbelCopula","1.00000001490116",NA
"181","2","256","96","-Inf","galambosCopula",NA,NA
"182","2","256","96","-Inf","huslerReissCopula",NA,NA
"183","2","256","96","-Inf","tevCopula",NA,NA
"184","2","256","96","1.40481781580516","tCopula","-0.233733917741952","7706.35590052971"
"185","2","256","96","-3.19017600359031e-07","rot gumbelCopula","1.00000001490116",NA
"186","2","256","96","-Inf","rot galambosCopula",NA,NA
"187","2","256","96","-Inf","rot huslerReissCopula",NA,NA
"188","3","256","96","0","Independent",NA,NA
"189","3","256","96","4.01558038815823","normalCopula","-0.373459968869509",NA
"190","3","256","96","1.75990336898241","claytonCopula","-0.179579564501463",NA
"191","3","256","96","-3.75288365564441e-07","gumbelCopula","1.00000001490116",NA
"192","3","256","96","-Inf","galambosCopula",NA,NA
"193","3","256","96","-Inf","huslerReissCopula",NA,NA
"194","3","256","96","-Inf","tevCopula",NA,NA
"195","3","256","96","5.19917922048845","tCopula","-0.36832091290078","3.49914973790419"
"196","3","256","96","-3.82987430181184e-07","rot gumbelCopula","1.00000001490116",NA
"197","3","256","96","-Inf","rot galambosCopula",NA,NA
"198","3","256","96","-Inf","rot huslerReissCopula",NA,NA
"199","4","256","96","0","Independent",NA,NA
"200","4","256","96","0.00836426009309577","normalCopula","-0.0187605729026856",NA
"201","4","256","96","0.0417878115608935","claytonCopula","0.049036089216987",NA
