"","P","ll","S","copula","params1","params2"
"112","3","241.396959843477","1","normalCopula","0.857512548964665",NA
"113","3","27.0632713246419","1","claytonCopula","4.86274276835242",NA
"114","3","232.438681883415","1","gumbelCopula","2.7514128193562",NA
"115","3","232.080697022105","1","galambosCopula","2.03862863127552",NA
"116","3","226.678827995098","1","huslerReissCopula","2.54492400058743",NA
"117","3","232.271899187578","1","tevCopula","0.957328240877241","5.72829464722796"
"118","3","241.396916461446","1","tCopula","0.857515050749187","35610.9684164421"
"119","3","205.66990946893","1","rot gumbelCopula","2.57787483418935",NA
"120","3","203.41895580065","1","rot galambosCopula","1.84892238581571",NA
"121","3","190.790830726511","1","rot huslerReissCopula","2.20466195441983",NA
"122","3","0","2","Independent",NA,NA
"123","3","262.310648175195","2","normalCopula","0.872764156289229",NA
"124","3","99.132252713966","2","claytonCopula","5.17932742766104",NA
"125","3","241.161753598271","2","gumbelCopula","2.83304259872759",NA
"126","3","239.902504111689","2","galambosCopula","2.11368710629799",NA
"127","3","229.516391408475","2","huslerReissCopula","2.54313955289012",NA
"128","3","241.779959363583","2","tevCopula","0.946754260380504","4.01379729237568"
"129","3","262.827331652198","2","tCopula","0.874454194355135","31.2653655757722"
"130","3","240.287716758363","2","rot gumbelCopula","2.84017114240418",NA
"131","3","238.164295762866","2","rot galambosCopula","2.12120021518026",NA
"132","3","224.595993350802","2","rot huslerReissCopula","2.49529883850938",NA
"133","4","0","0","Independent",NA,NA
"134","4","287.141644854603","0","normalCopula","0.889046611249957",NA
"135","4","146.586281048408","0","claytonCopula","6.14972898704484",NA
"136","4","264.939861008321","0","gumbelCopula","3.07117985024845",NA
"137","4","261.704865520403","0","galambosCopula","2.35104763161081",NA
"138","4","234.910049325154","0","huslerReissCopula","2.57047899638064",NA
"139","4","272.736585379982","0","tevCopula","0.937153595684184","2.41096573130179"
"140","4","293.868380055473","0","tCopula","0.896152923534561","8.96463593670057"
"141","4","281.801643915641","0","rot gumbelCopula","3.19366526736385",NA
"142","4","280.168086289413","0","rot galambosCopula","2.47830202345377",NA
"143","4","266.649460840321","0","rot huslerReissCopula","2.90037149857479",NA
"144","4","0","1","Independent",NA,NA
"145","4","250.038783562026","1","normalCopula","0.864416102033501",NA
"146","4","105.197054376254","1","claytonCopula","5.63348082842481",NA
"147","4","231.415995919676","1","gumbelCopula","2.84448784613841",NA
"148","4","226.053450637413","1","galambosCopula","2.1037787812778",NA
"149","4","204.567513816921","1","huslerReissCopula","2.32225936892695",NA
"150","4","245.300944306968","1","tevCopula","0.902744122502811","1.49361349409633"
"151","4","257.392088627304","1","tCopula","0.87593351229686","7.5089273634896"
"152","4","246.705921604541","1","rot gumbelCopula","2.93537617846144",NA
"153","4","243.535353660374","1","rot galambosCopula","2.20653278562832",NA
"154","4","229.618059813133","1","rot huslerReissCopula","2.56601714887331",NA
"155","4","0","2","Independent",NA,NA
"156","4","138.656419010554","2","normalCopula","0.730580340436854",NA
"157","4","60.7894762190201","2","claytonCopula","2.77071399641031",NA
"158","4","123.552040938892","2","gumbelCopula","1.97160195896508",NA
"159","4","121.721511565615","2","galambosCopula","1.23358409886605",NA
"160","4","117.583878961019","2","huslerReissCopula","1.6437205003804",NA
"161","4","123.306783728321","2","tevCopula","0.843698186914557","3.13201485057335"
"162","4","140.585382104569","2","tCopula","0.737893921772192","14.5235777855514"
"163","4","130.918150484651","2","rot gumbelCopula","2.00242269099834",NA
"164","4","130.172628265618","2","rot galambosCopula","1.27606413629057",NA
"165","4","126.680125963835","2","rot huslerReissCopula","1.70957109627588",NA
"166","5","0","0","Independent",NA,NA
"167","5","231.742720452429","0","normalCopula","0.853685935420434",NA
"168","5","166.683247484629","0","claytonCopula","4.37084959974492",NA
"169","5","192.372848554014","0","gumbelCopula","2.49532185931273",NA
"170","5","191.249227905832","0","galambosCopula","1.76363695930109",NA
"171","5","184.652978226778","0","huslerReissCopula","2.19024700933079",NA
"172","5","191.856355656364","0","tevCopula","0.936408784128822","4.70029208282645"
"173","5","231.725719737696","0","tCopula","0.853695953287846","1320.48642173438"
"174","5","230.428338318877","0","rot gumbelCopula","2.77534282768249",NA
"175","5","229.67991402261","0","rot galambosCopula","2.06660876673772",NA
"176","5","220.872093342415","0","rot huslerReissCopula","2.53933925103224",NA
"177","5","0","1","Independent",NA,NA
"178","5","248.979324209821","1","normalCopula","0.863640615525272",NA
"179","5","176.732594424829","1","claytonCopula","5.24310597564201",NA
"180","5","211.176574883027","1","gumbelCopula","2.65546077067709",NA
"181","5","207.124194578467","1","galambosCopula","1.91298258921815",NA
"182","5","192.741105340138","1","huslerReissCopula","2.21916452150367",NA
"183","5","216.977889144361","1","tevCopula","0.901688330440668","1.95860529087801"
"184","5","251.275405453599","1","tCopula","0.868678136634172","11.9235297475788"
"185","5","257.186307987837","1","rot gumbelCopula","2.9783577409038",NA
"186","5","255.985889609569","1","rot galambosCopula","2.26481450620874",NA
"187","5","246.769122496755","1","rot huslerReissCopula","2.7468680469314",NA
"188","5","0","2","Independent",NA,NA
"189","5","167.738427001939","2","normalCopula","0.778954814115808",NA
"190","5","72.6020206444016","2","claytonCopula","2.95909631827226",NA
"191","5","148.439535560205","2","gumbelCopula","2.11600335489689",NA
"192","5","149.189553692736","2","galambosCopula","1.39661437429242",NA
"193","5","148.792203418812","2","huslerReissCopula","1.88870698597264",NA
"194","5","149.333960935377","2","tevCopula","0.965821488554848","15.0031166754878"
"195","5","167.718626620805","2","tCopula","0.778926918353766","2217.48166744108"
"196","5","148.142203139964","2","rot gumbelCopula","2.11227421129789",NA
"197","5","148.942520515098","2","rot galambosCopula","1.39557448064176",NA
"198","5","148.546837781025","2","rot huslerReissCopula","1.89079471497991",NA
"199","6","0","0","Independent",NA,NA
"200","6","212.456927053564","0","normalCopula","0.830021825249675",NA
