"","ID","W","ll","copula","params1","params2"
"80","2","42.4057649667406","28.0926699572808","claytonCopula","1.80958823000511",NA
"81","2","42.4057649667406","61.833712727578","gumbelCopula","1.92884342767802",NA
"82","2","42.4057649667406","59.0115132847406","galambosCopula","1.21651048432173",NA
"83","2","42.4057649667406","49.4727037951946","huslerReissCopula","1.499724964831",NA
"84","2","42.4057649667406","68.6038048800018","tevCopula","0.69783602021711","1.35012432255135"
"85","2","42.4057649667406","61.9867450996421","tCopula","0.666816460929062","2.59211631982025"
"86","2","42.4057649667406","48.6231522023753","rot gumbelCopula","1.77308431117876",NA
"87","2","42.4057649667406","47.8158666332516","rot galambosCopula","1.03956059300195",NA
"88","2","42.4057649667406","46.6327422602487","rot huslerReissCopula","1.46667779992909",NA
"89",NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA
