"","P","ll","D","W","copula","params1","params2"
"54","0","38.1679727276165","770","24","rot galambosCopula","0.966822340022282",NA
"55","0","36.9316803136788","770","24","rot huslerReissCopula","1.37785691813259",NA
"56","0","0","770","70","Independent",NA,NA
"57","0","0.143248650675509","770","70","normalCopula","-0.0430530664359474",NA
"58","0","0.00111296042401834","770","70","claytonCopula","0.00471130786059012",NA
"59","0","-2.93215797800479e-07","770","70","gumbelCopula","1.00000001490116",NA
"60","0","7.77156117237609e-15","770","70","galambosCopula","0.0150489711777489",NA
"61","0","4.88498130835069e-15","770","70","huslerReissCopula","0.0957083500283271",NA
"62","0","-Inf","770","70","tevCopula",NA,NA
"63","0","0.171321076929049","770","70","tCopula","-0.0327816319732123","25.1746250214505"
"64","0","-3.04726932845098e-08","770","70","rot gumbelCopula","1.00000001490116",NA
"65","0","-2.10576001081197e-12","770","70","rot galambosCopula","0.0237535926910166",NA
"66","0","-1.24621535332192e-10","770","70","rot huslerReissCopula","0.147604407894911",NA
"67","1","0","400","8","Independent",NA,NA
"68","1","49.9251679092678","400","8","normalCopula","0.675128900439871",NA
"69","1","47.088131882902","400","8","claytonCopula","2.11373591441351",NA
"70","1","38.4981493918779","400","8","gumbelCopula","1.73660196609142",NA
"71","1","37.6027793036852","400","8","galambosCopula","0.999316508656171",NA
"72","1","35.7537569443695","400","8","huslerReissCopula","1.38574153862383",NA
"73","1","38.6419691947371","400","8","tevCopula","0.753811917335954","2.65298776459943"
"74","1","49.9517841890217","400","8","tCopula","0.676795287882523","56.7996575204591"
"75","1","53.4453869548609","400","8","rot gumbelCopula","1.8877233452955",NA
"76","1","53.5853397489362","400","8","rot galambosCopula","1.17327218064984",NA
"77","1","53.2713940684507","400","8","rot huslerReissCopula","1.64944649576841",NA
"78","1","0","400","24","Independent",NA,NA
"79","1","59.0095572590566","400","24","normalCopula","0.713663607361659",NA
"80","1","36.880253037044","400","24","claytonCopula","2.35113786510477",NA
"81","1","49.7537955502095","400","24","gumbelCopula","1.86255276400256",NA
"82","1","49.7208883767332","400","24","galambosCopula","1.13549030011918",NA
"83","1","49.0788408908549","400","24","huslerReissCopula","1.58015229834241",NA
"84","1","49.6576340372524","400","24","tevCopula","0.913233054254231","7.81588420986181"
"85","1","59.0084161604094","400","24","tCopula","0.713667722867654","10248.6885619015"
"86","1","55.6520232915153","400","24","rot gumbelCopula","1.93098523951117",NA
"87","1","55.7677737518229","400","24","rot galambosCopula","1.20525383454983",NA
"88","1","56.0542819840304","400","24","rot huslerReissCopula","1.6895577726202",NA
"89","1","0","400","70","Independent",NA,NA
"90","1","59.7149829949989","400","70","normalCopula","0.708403734634628",NA
"91","1","25.9877047253074","400","70","claytonCopula","2.12536107307979",NA
"92","1","57.6560576863702","400","70","gumbelCopula","1.91478011521177",NA
"93","1","57.8860441342519","400","70","galambosCopula","1.20559654433658",NA
"94","1","56.892125479916","400","70","huslerReissCopula","1.67137746028511",NA
"95","1","57.9544401835046","400","70","tevCopula","0.916078388314636","7.25226850420984"
"96","1","59.7142547960298","400","70","tCopula","0.708411266003668","4746.71295800543"
"97","1","50.5488042343318","400","70","rot gumbelCopula","1.8408025870622",NA
"98","1","50.8576876304437","400","70","rot galambosCopula","1.12072611818716",NA
"99","1","50.3156885664281","400","70","rot huslerReissCopula","1.56920015864378",NA
"100","1","0","770","8","Independent",NA,NA
"101","1","49.9371690720781","770","8","normalCopula","0.677148549986409",NA
"102","1","46.2434005125635","770","8","claytonCopula","2.01939596191196",NA
"103","1","35.5884163827874","770","8","gumbelCopula","1.68465317253664",NA
"104","1","36.0898548201877","770","8","galambosCopula","0.956964529016909",NA
"105","1","36.2215301662475","770","8","huslerReissCopula","1.39516923495782",NA
"106","1","36.2502562558217","770","8","tevCopula","0.963687502424966","26.8918778135255"
"107","1","49.9336985792229","770","8","tCopula","0.677136665268541","5045.48952202708"
"108","1","51.3765796463396","770","8","rot gumbelCopula","1.8493139631086",NA
"109","1","52.324006049114","770","8","rot galambosCopula","1.14062778414214",NA
"110","1","53.4073516797003","770","8","rot huslerReissCopula","1.65586993732503",NA
"111","1","0","770","24","Independent",NA,NA
"112","1","27.1399943658578","770","24","normalCopula","0.534202357319449",NA
"113","1","31.3967935483199","770","24","claytonCopula","1.23447207122198",NA
"114","1","17.3223655346066","770","24","gumbelCopula","1.42899005163279",NA
"115","1","17.4416480030407","770","24","galambosCopula","0.693703251529038",NA
"116","1","17.2438011190335","770","24","huslerReissCopula","1.08656373334505",NA
"117","1","17.444202761906","770","24","tevCopula","0.847743139827353","9.71156486903013"
"118","1","27.1388063915957","770","24","tCopula","0.534217469831785","6336.15364075677"
"119","1","30.2330845055714","770","24","rot gumbelCopula","1.56727582497081",NA
"120","1","30.4303091277152","770","24","rot galambosCopula","0.843324816155587",NA
"121","1","30.6360468126083","770","24","rot huslerReissCopula","1.28246471181978",NA
"122","1","0","770","70","Independent",NA,NA
"123","1","51.5876828606098","770","70","normalCopula","0.676316430283201",NA
"124","1","42.2877609728497","770","70","claytonCopula","2.15117161134862",NA
"125","1","37.5595300447068","770","70","gumbelCopula","1.71058594442714",NA
"126","1","37.1990370334923","770","70","galambosCopula","0.974356681647762",NA
"127","1","36.2034150666994","770","70","huslerReissCopula","1.37860420439126",NA
"128","1","37.3140622928479","770","70","tevCopula","0.837061921778742","4.86948565095379"
"129","1","51.5833275028196","770","70","tCopula","0.676329421900373","3362.74238298348"
"130","1","52.0756140154372","770","70","rot gumbelCopula","1.85361638089405",NA
"131","1","52.6954703057662","770","70","rot galambosCopula","1.13658917309171",NA
"132","1","53.2183540670601","770","70","rot huslerReissCopula","1.62587311437593",NA
"133","2","0","400","8","Independent",NA,NA
"134","2","4.87063260325606","400","8","normalCopula","0.24514139735722",NA
"135","2","5.79909681715894","400","8","claytonCopula","0.350468547067364",NA
"136","2","4.42332155020218","400","8","gumbelCopula","1.16532658670244",NA
"137","2","4.32210067435506","400","8","galambosCopula","0.412351440702043",NA
"138","2","4.17421314053643","400","8","huslerReissCopula","0.747814746930325",NA
"139","2","4.50256734391351","400","8","tevCopula","0.253040851261099","3.15216591937719"
"140","2","5.68219616518478","400","8","tCopula","0.221801224210269","6.02433344432057"
"141","2","6.00610687866922","400","8","rot gumbelCopula","1.18301427806025",NA
"142","2","6.2722838879255","400","8","rot galambosCopula","0.440999248550479",NA
"143","2","6.33581188272638","400","8","rot huslerReissCopula","0.796846034105655",NA
"144","2","0","400","24","Independent",NA,NA
"145","2","3.03497141588358","400","24","normalCopula","0.196840329059408",NA
"146","2","7.14192031762904","400","24","claytonCopula","0.391068410819454",NA
"147","2","0.632668332072459","400","24","gumbelCopula","1.06593487693453",NA
"148","2","0.945864098058402","400","24","galambosCopula","0.296783524021295",NA
"149","2","1.04711905061998","400","24","huslerReissCopula","0.61357631519549",NA
