"","P","I","ll","copula","params"
"1","0","0","18.9922908430802","claytonCopula","4.6888579034625"
"2","0","0","46.6947110186527","gumbelCopula","2.75636479410378"
"3","0","0","46.872297965047","galambosCopula","2.04962817718167"
"4","0","0","46.9177687396216","huslerReissCopula","2.65752771611116"
"5","0","0","46.973195377185","tevCopula","0.981990690641256"
"6","0","0","49.8014404567642","tCopula","0.865184159033742"
"7","0","0","44.3133456219136","rot gumbelCopula","2.68149636801146"
"8","0","0","44.372035443646","rot galambosCopula","1.9649380101127"
"9","0","0","44.2077462742696","rot huslerReissCopula","2.52643497838642"
"10","0","1","-7.44917620094592","claytonCopula","3.37239196937049"
"11","0","1","36.9271167965999","gumbelCopula","2.40419916281609"
"12","0","1","37.1350777268372","galambosCopula","1.70657395401942"
"13","0","1","37.2593694115045","huslerReissCopula","2.30332735057698"
"14","0","1","37.2495606993501","tevCopula","0.97769717494266"
"15","0","1","32.8520949167275","tCopula","0.786979940475459"
"16","0","1","24.7660572079986","rot gumbelCopula","2.05789118373506"
"17","0","1","24.4533663324481","rot galambosCopula","1.31853839479748"
"18","0","1","23.6282551929744","rot huslerReissCopula","1.73584153644275"
"19","0","2","23.893813252251","claytonCopula","3.87742996663361"
"20","0","2","37.8066261132195","gumbelCopula","2.449268107431"
"21","0","2","38.0050381446731","galambosCopula","1.73637802364092"
"22","0","2","38.2700407444466","huslerReissCopula","2.31032733213377"
"23","0","2","38.1912717718414","tevCopula","0.983235979190154"
"24","0","2","41.7663241478776","tCopula","0.83414666673827"
"25","0","2","39.1741069080432","rot gumbelCopula","2.49959471294135"
"26","0","2","39.2429571438488","rot galambosCopula","1.79403530340346"
"27","0","2","38.671943207447","rot huslerReissCopula","2.32525580956964"
"28","0","3","-2.68900195173684","claytonCopula","1.25256270748923"
"29","0","3","18.4586860531833","gumbelCopula","1.74586440605539"
"30","0","3","18.6183456319629","galambosCopula","1.04448138654752"
"31","0","3","18.7950404356991","huslerReissCopula","1.55130170460326"
"32","0","3","18.7385414559333","tevCopula","0.970540545715295"
"33","0","3","13.0919860841151","tCopula","0.582023453939939"
"34","0","3","6.69714399941186","rot gumbelCopula","1.44048026063293"
"35","0","3","6.97428764894695","rot galambosCopula","0.708469118836641"
"36","0","3","7.26201037970241","rot huslerReissCopula","1.13214673515007"
"37","0","4","15.1080971188286","claytonCopula","3.35006097528554"
"38","0","4","36.0413346516218","gumbelCopula","2.38887780789919"
"39","0","4","36.0764035216871","galambosCopula","1.67884454376318"
"40","0","4","35.8645022491709","huslerReissCopula","2.2236375318772"
"41","0","4","36.0406582589605","tevCopula","0.959056625148863"
"42","0","4","36.3028993741477","tCopula","0.806176686241624"
"43","0","4","32.4657503170192","rot gumbelCopula","2.28820664721498"
"44","0","4","32.2618081869934","rot galambosCopula","1.56306264422176"
"45","0","4","31.7151636709066","rot huslerReissCopula","2.04473116954024"
"46","1","0","9.61579596042161","claytonCopula","6.18139743689711"
"47","1","0","49.9980455667847","gumbelCopula","3.00623264547537"
"48","1","0","50.1321297379794","galambosCopula","2.29851023476205"
"49","1","0","49.8971440232768","huslerReissCopula","2.90998916421472"
"50","1","0","50.1786970139632","tevCopula","0.981122850524633"
"51","1","0","54.3724943964072","tCopula","0.89010939362904"
"52","1","0","47.8835490551194","rot gumbelCopula","2.92654851595778"
"53","1","0","47.9367718097864","rot galambosCopula","2.21108131656896"
"54","1","0","47.5806132233261","rot huslerReissCopula","2.7831440732475"
"55","1","1","14.9417518422611","claytonCopula","2.60031025552709"
"56","1","1","32.2558348550104","gumbelCopula","2.15772063013"
"57","1","1","32.6214460836808","galambosCopula","1.45795446502401"
"58","1","1","33.0561873981968","huslerReissCopula","2.02874706118464"
"59","1","1","32.9349793257795","tevCopula","0.980727347098342"
"60","1","1","32.4083515356176","tCopula","0.76839577488219"
"61","1","1","27.8186480973688","rot gumbelCopula","2.04842728606348"
"62","1","1","28.0149344254593","rot galambosCopula","1.33664709382702"
"63","1","1","28.0131639225295","rot huslerReissCopula","1.837608200777"
"64","1","2","8.51177248768725","claytonCopula","4.84750713111396"
"65","1","2","48.5971282009645","gumbelCopula","2.7882085517848"
"66","1","2","48.7238708604588","galambosCopula","2.08024588173848"
"67","1","2","48.7212256735972","huslerReissCopula","2.69494307348274"
"68","1","2","48.7888984670306","tevCopula","0.980774563100405"
"69","1","2","49.2610331317629","tCopula","0.8585515814677"
"70","1","2","42.60741552713","rot gumbelCopula","2.60558965322056"
"71","1","2","42.3828361290695","rot galambosCopula","1.88068663906945"
"72","1","2","41.2156150302642","rot huslerReissCopula","2.3515490258061"
"73","1","3","31.6515807015624","claytonCopula","2.72924494396052"
"74","1","3","20.8380180107618","gumbelCopula","1.92581374477222"
"75","1","3","20.5762458970962","galambosCopula","1.18818267023406"
"76","1","3","19.9411065451392","huslerReissCopula","1.6051516199664"
"77","1","3","20.7350166260479","tevCopula","0.853866365520569"
"78","1","3","28.000091225898","tCopula","0.753689183212533"
"79","1","3","32.0119462393663","rot gumbelCopula","2.24490968233797"
"80","1","3","31.8802807463276","rot galambosCopula","1.5438032319669"
"81","1","3","30.8754824680133","rot huslerReissCopula","2.0368457640318"
"82","1","4","8.94709979016959","claytonCopula","5.83285921040857"
"83","1","4","56.7829942095025","gumbelCopula","3.1665799489258"
"84","1","4","56.4082131634539","galambosCopula","2.45471947186284"
"85","1","4","54.3465833882697","huslerReissCopula","2.94059117873675"
"86","1","4","57.1017607409088","tevCopula","0.943630066444792"
"87","1","4","56.3406481607793","tCopula","0.884254811852543"
"88","1","4","49.9322570499471","rot gumbelCopula","2.89786188350495"
"89","1","4","49.5841788383884","rot galambosCopula","2.16509192671795"
"90","1","4","48.3916927335673","rot huslerReissCopula","2.65017554124915"
"91","10","0","10.7115676180744","claytonCopula","2.66493305546995"
"92","10","0","31.4419652867479","gumbelCopula","2.11666144096986"
"93","10","0","32.1908931457341","galambosCopula","1.4234855308102"
"94","10","0","33.2722899346627","huslerReissCopula","2.03521571239546"
"95","10","0","33.0155239897752","tevCopula","0.985332169825024"
"96","10","0","31.8798825040221","tCopula","0.763887162261712"
"97","10","0","26.5838504775522","rot gumbelCopula","2.01566872873369"
"98","10","0","26.590737754531","rot galambosCopula","1.29987420103217"
"99","10","0","26.0885042757212","rot huslerReissCopula","1.76172936444548"
"100","10","1","-6.10653194129143","claytonCopula","4.03320836831426"
"101","10","1","42.4053967074277","gumbelCopula","2.60038106989348"
"102","10","1","42.2351968708254","galambosCopula","1.88629825407642"
"103","10","1","41.6997275306886","huslerReissCopula","2.43770663328961"
"104","10","1","42.2314261839416","tevCopula","0.936914723430456"
"105","10","1","38.8558376779505","tCopula","0.817035009018856"
"106","10","1","31.1689028167534","rot gumbelCopula","2.25580400906497"
"107","10","1","30.6304219622127","rot galambosCopula","1.50724043671317"
"108","10","1","29.6618318115779","rot huslerReissCopula","1.92676747413529"
"109","10","2","12.5436656076709","claytonCopula","1.76100460777496"
"110","10","2","17.8892674255955","gumbelCopula","1.77812505488729"
"111","10","2","18.0002140757328","galambosCopula","1.05773722848693"
"112","10","2","18.180137082293","huslerReissCopula","1.54186170229398"
"113","10","2","18.1186934905487","tevCopula","0.971092118787524"
"114","10","2","18.6955702423978","tCopula","0.658413205961343"
"115","10","2","17.6645754482241","rot gumbelCopula","1.79520101177868"
"116","10","2","17.0684872084782","rot galambosCopula","1.06743068338971"
"117","10","2","15.9763387189273","rot huslerReissCopula","1.45771567569508"
"118","10","3","18.6290428566814","claytonCopula","2.1327957738566"
"119","10","3","16.2069155994323","gumbelCopula","1.70894776854396"
"120","10","3","16.4694931705938","galambosCopula","0.98136241405314"
"121","10","3","16.7014982841256","huslerReissCopula","1.43580007402709"
"122","10","3","16.6479149392509","tevCopula","0.969813343330963"
"123","10","3","21.8523929743986","tCopula","0.674606067158455"
"124","10","3","22.522792379571","rot gumbelCopula","1.86256265641422"
"125","10","3","22.531301667791","rot galambosCopula","1.15255682689019"
"126","10","3","22.048208493208","rot huslerReissCopula","1.61136008890271"
"127","10","4","16.9261452279455","claytonCopula","1.55252799699639"
"128","10","4","9.31710406411314","gumbelCopula","1.51640842281281"
"129","10","4","9.88628282764053","galambosCopula","0.800951680419894"
"130","10","4","10.2836137795285","huslerReissCopula","1.25074824920393"
"131","10","4","10.2138626083009","tevCopula","0.974015019996661"
"132","10","4","14.120580997631","tCopula","0.600935230955358"
