,participant,set,ID,IDe,MT,d,w,D,W
0,1,0,8.0,8.202023453287895,1.6500000000000004,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
1,1,0,8.0,8.202023453287895,1.8100000000000005,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
2,1,0,8.0,8.202023453287895,1.6800000000000015,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
3,1,0,8.0,8.202023453287895,2.020000000000003,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
4,1,0,8.0,8.202023453287895,1.5100000000000016,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
5,1,0,8.0,8.202023453287895,1.379999999999999,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
6,1,0,8.0,8.202023453287895,1.5500000000000007,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
7,1,0,8.0,8.202023453287895,1.3399999999999999,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
8,1,0,8.0,8.202023453287895,1.2999999999999972,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
9,1,0,8.0,8.202023453287895,1.6900000000000048,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
10,1,0,8.0,8.202023453287895,1.3599999999999994,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
11,1,0,8.0,8.202023453287895,2.019999999999996,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
12,1,0,8.0,8.202023453287895,1.5300000000000011,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
13,1,0,8.0,8.202023453287895,1.5200000000000031,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
14,1,0,8.0,8.202023453287895,1.6099999999999994,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
15,1,0,8.0,8.202023453287895,1.8800000000000026,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
16,1,0,8.0,8.202023453287895,1.6499999999999986,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
17,1,0,8.0,8.202023453287895,1.3399999999999963,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
18,1,0,8.0,8.202023453287895,1.710000000000008,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
19,1,0,8.0,8.202023453287895,2.950000000000003,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
20,1,0,8.0,8.202023453287895,1.6200000000000045,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
21,1,0,8.0,8.202023453287895,2.1500000000000057,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
22,1,0,8.0,8.202023453287895,1.5900000000000034,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
23,1,0,8.0,8.202023453287895,1.3800000000000097,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
24,1,0,8.0,8.202023453287895,1.1400000000000006,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
25,1,0,8.0,8.202023453287895,1.8299999999999983,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
26,1,0,8.0,8.202023453287895,1.3199999999999932,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
27,1,0,8.0,8.202023453287895,1.75,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
28,1,0,8.0,8.202023453287895,1.8999999999999915,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
29,1,0,8.0,8.202023453287895,1.75,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
30,1,0,8.0,8.202023453287895,1.9300000000000068,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
31,1,0,8.0,8.202023453287895,1.490000000000009,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
32,1,0,8.0,8.202023453287895,1.3500000000000085,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
33,1,0,8.0,8.202023453287895,1.809999999999988,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
34,1,0,8.0,8.202023453287895,1.3799999999999955,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
35,1,0,8.0,8.202023453287895,1.8100000000000023,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
36,1,0,8.0,8.202023453287895,1.700000000000017,212.02882483370288,0.8314855875831485,7.633037694013304,0.29933481152993346
37,1,1,6.016808287686554,6.100723646257178,0.8900000000000006,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
38,1,1,6.016808287686554,6.100723646257178,1.0199999999999996,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
39,1,1,6.016808287686554,6.100723646257178,0.9499999999999993,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
40,1,1,6.016808287686554,6.100723646257178,0.9000000000000004,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
41,1,1,6.016808287686554,6.100723646257178,0.6899999999999995,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
42,1,1,6.016808287686554,6.100723646257178,1.0700000000000003,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
43,1,1,6.016808287686554,6.100723646257178,1.1600000000000001,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
44,1,1,6.016808287686554,6.100723646257178,1.129999999999999,212.02882483370288,3.325942350332594,7.633037694013304,1.1973392461197339
