"",Participant,MT,strategy,repetition,IDe
2391,4,1.31,3,3,3.675878273933885
2392,4,1.2300000000000004,3,3,3.675878273933885
2393,4,0.9900000000000002,3,3,3.675878273933885
2394,4,1.2599999999999998,3,3,3.675878273933885
2395,4,0.9499999999999993,3,3,3.675878273933885
2396,4,0.9000000000000004,3,3,3.675878273933885
2397,4,0.9299999999999997,3,3,3.675878273933885
2398,4,0.6099999999999994,3,3,3.675878273933885
2399,4,1.0399999999999991,3,3,3.675878273933885
2400,4,1.2200000000000024,3,3,3.675878273933885
2401,4,0.8599999999999994,3,3,3.675878273933885
2402,4,1.2699999999999996,3,3,3.675878273933885
2403,4,0.990000000000002,3,3,3.675878273933885
2404,4,0.980000000000004,3,3,3.675878273933885
2405,4,1.4799999999999969,3,3,3.675878273933885
2406,4,1.1399999999999935,3,3,3.675878273933885
2407,4,1.4600000000000009,3,3,3.675878273933885
2424,4,0.42000000000000004,1,3,3.0540108621232878
2425,4,0.33999999999999986,1,3,3.0540108621232878
2426,4,0.9399999999999995,1,3,3.0540108621232878
2427,4,0.6899999999999995,1,3,3.0540108621232878
2428,4,0.6699999999999999,1,3,3.0540108621232878
2429,4,0.6899999999999995,1,3,3.0540108621232878
2430,4,0.5500000000000007,1,3,3.0540108621232878
2431,4,0.6300000000000008,1,3,3.0540108621232878
2432,4,0.6099999999999994,1,3,3.0540108621232878
2433,4,0.6199999999999974,1,3,3.0540108621232878
2434,4,0.3000000000000007,1,3,3.0540108621232878
2435,4,0.7600000000000016,1,3,3.0540108621232878
2436,4,0.5500000000000007,1,3,3.0540108621232878
2437,4,0.28000000000000114,1,3,3.0540108621232878
2438,4,0.759999999999998,1,3,3.0540108621232878
2439,4,0.6700000000000017,1,3,3.0540108621232878
2556,4,1.9800000000000002,5,3,7.299936058251963
2557,4,1.87,5,3,7.299936058251963
2558,4,1.83,5,3,7.299936058251963
2559,4,1.4399999999999995,5,3,7.299936058251963
2560,4,1.4700000000000006,5,3,7.299936058251963
2561,4,3.030000000000001,5,3,7.299936058251963
2562,4,1.3500000000000014,5,3,7.299936058251963
2563,4,1.0,5,3,7.299936058251963
2564,4,3.360000000000003,5,3,7.299936058251963
2565,4,1.7899999999999991,5,3,7.299936058251963
2566,4,2.8100000000000023,5,3,7.299936058251963
2567,4,2.3399999999999963,5,3,7.299936058251963
2568,4,1.4600000000000009,5,3,7.299936058251963
2569,4,1.3800000000000026,5,3,7.299936058251963
2570,4,0.8499999999999943,5,3,7.299936058251963
2571,4,1.9399999999999977,5,3,7.299936058251963
2604,4,1.7000000000000002,4,3,3.54933275020365
2605,4,1.0499999999999998,4,3,3.54933275020365
2606,4,1.3599999999999994,4,3,3.54933275020365
2607,4,0.8300000000000001,4,3,3.54933275020365
2608,4,1.33,4,3,3.54933275020365
2609,4,1.08,4,3,3.54933275020365
2610,4,1.7000000000000028,4,3,3.54933275020365
2611,4,1.3299999999999983,4,3,3.54933275020365
2612,4,1.0199999999999996,4,3,3.54933275020365
2613,4,0.8599999999999994,4,3,3.54933275020365
2614,4,1.1300000000000026,4,3,3.54933275020365
2615,4,0.5400000000000027,4,3,3.54933275020365
2616,4,1.9499999999999993,4,3,3.54933275020365
2617,4,1.3500000000000014,4,3,3.54933275020365
2618,4,1.6999999999999957,4,3,3.54933275020365
2619,4,1.6400000000000006,4,3,3.54933275020365
2652,4,1.28,2,3,2.860671369741311
2653,4,0.8199999999999998,2,3,2.860671369741311
2654,4,0.7400000000000002,2,3,2.860671369741311
2655,4,0.5699999999999994,2,3,2.860671369741311
2656,4,1.0099999999999998,2,3,2.860671369741311
2657,4,0.8100000000000005,2,3,2.860671369741311
2658,4,0.9100000000000001,2,3,2.860671369741311
2659,4,1.1799999999999997,2,3,2.860671369741311
2660,4,1.1999999999999993,2,3,2.860671369741311
2661,4,0.7600000000000016,2,3,2.860671369741311
2662,4,1.0,2,3,2.860671369741311
2663,4,0.5100000000000016,2,3,2.860671369741311
2664,4,0.7699999999999996,2,3,2.860671369741311
2665,4,0.6699999999999982,2,3,2.860671369741311
2666,4,0.4299999999999997,2,3,2.860671369741311
2667,4,0.7800000000000011,2,3,2.860671369741311
