"",Participant,MT,strategy,repetition,IDe
5527,5,0.9500000000000001,3,3,4.1487622268483575
5528,5,0.8499999999999996,3,3,4.1487622268483575
5529,5,1.0099999999999998,3,3,4.1487622268483575
5530,5,1.4800000000000004,3,3,4.1487622268483575
5531,5,1.2100000000000009,3,3,4.1487622268483575
5532,5,1.1099999999999977,3,3,4.1487622268483575
5533,5,1.240000000000002,3,3,4.1487622268483575
5534,5,1.2099999999999973,3,3,4.1487622268483575
5535,5,0.46000000000000085,3,3,4.1487622268483575
5536,5,1.0199999999999996,3,3,4.1487622268483575
5537,5,1.1199999999999974,3,3,4.1487622268483575
5538,5,0.8500000000000014,3,3,4.1487622268483575
5539,5,1.0399999999999991,3,3,4.1487622268483575
5540,5,1.1799999999999997,3,3,4.1487622268483575
5541,5,1.1300000000000026,3,3,4.1487622268483575
5542,5,0.8100000000000023,3,3,4.1487622268483575
5543,5,0.5499999999999972,3,3,4.1487622268483575
5544,5,1.7,5,3,8.371373366718064
5545,5,2.84,5,3,8.371373366718064
5546,5,3.6899999999999995,5,3,8.371373366718064
5547,5,2.4499999999999993,5,3,8.371373366718064
5548,5,1.8300000000000018,5,3,8.371373366718064
5549,5,2.41,5,3,8.371373366718064
5550,5,3.460000000000001,5,3,8.371373366718064
5551,5,2.269999999999996,5,3,8.371373366718064
5552,5,1.8299999999999983,5,3,8.371373366718064
5553,5,2.4299999999999997,5,3,8.371373366718064
5554,5,1.3299999999999983,5,3,8.371373366718064
5555,5,1.7999999999999972,5,3,8.371373366718064
5556,5,2.3200000000000003,5,3,8.371373366718064
5557,5,2.25,5,3,8.371373366718064
5558,5,1.1899999999999977,5,3,8.371373366718064
5559,5,3.1299999999999955,5,3,8.371373366718064
5560,5,2.049999999999997,5,3,8.371373366718064
5561,5,2.8299999999999983,5,3,8.371373366718064
5562,5,0.9499999999999997,4,3,5.137854727446002
5563,5,1.04,4,3,5.137854727446002
5564,5,1.4800000000000004,4,3,5.137854727446002
5565,5,1.8699999999999992,4,3,5.137854727446002
5566,5,1.3699999999999992,4,3,5.137854727446002
5567,5,1.2699999999999996,4,3,5.137854727446002
5568,5,1.4400000000000013,4,3,5.137854727446002
5569,5,1.6000000000000014,4,3,5.137854727446002
5570,5,0.8900000000000006,4,3,5.137854727446002
5571,5,1.5499999999999972,4,3,5.137854727446002
5572,5,1.1000000000000014,4,3,5.137854727446002
5573,5,1.4699999999999989,4,3,5.137854727446002
5574,5,1.8000000000000043,4,3,5.137854727446002
5575,5,0.8700000000000045,4,3,5.137854727446002
5576,5,0.8799999999999955,4,3,5.137854727446002
5577,5,1.240000000000002,4,3,5.137854727446002
5578,5,0.8100000000000023,4,3,5.137854727446002
5856,5,0.84,2,3,3.240037919505401
5857,5,0.8699999999999992,2,3,3.240037919505401
5858,5,0.8000000000000007,2,3,3.240037919505401
5859,5,0.6500000000000004,2,3,3.240037919505401
5860,5,0.629999999999999,2,3,3.240037919505401
5861,5,0.9700000000000006,2,3,3.240037919505401
5862,5,1.2800000000000011,2,3,3.240037919505401
5863,5,0.6600000000000001,2,3,3.240037919505401
5864,5,1.0899999999999999,2,3,3.240037919505401
5865,5,0.7100000000000009,2,3,3.240037919505401
5866,5,1.629999999999999,2,3,3.240037919505401
5867,5,0.9499999999999993,2,3,3.240037919505401
5868,5,0.8200000000000003,2,3,3.240037919505401
5869,5,0.5300000000000011,2,3,3.240037919505401
5870,5,1.0900000000000034,2,3,3.240037919505401
5871,5,0.8299999999999983,2,3,3.240037919505401
5872,5,1.1199999999999974,2,3,3.240037919505401
