,participant,id,mt
0,3,2.321928094887362,1.139
1,3,2.321928094887362,1.679
2,3,2.321928094887362,1.329
3,3,2.321928094887362,1.193
4,3,2.321928094887362,1.061
5,3,2.321928094887362,1.598
6,3,2.321928094887362,0.93
7,3,2.321928094887362,1.112
8,3,2.321928094887362,0.696
9,3,2.321928094887362,1.482
10,3,2.321928094887362,0.867
11,3,2.321928094887362,0.651
12,3,2.321928094887362,0.651
13,3,2.321928094887362,0.615
14,3,2.321928094887362,0.65
15,3,2.321928094887362,0.795
16,3,2.321928094887362,1.619
17,3,2.321928094887362,0.949
18,3,2.321928094887362,0.714
19,3,2.321928094887362,0.802
20,3,2.321928094887362,0.606
21,3,2.321928094887362,1.565
22,3,2.321928094887362,1.176
23,3,2.321928094887362,1.199
24,3,2.321928094887362,1.274
25,3,2.321928094887362,0.732
26,3,2.321928094887362,0.832
27,3,2.321928094887362,0.786
28,3,2.321928094887362,0.966
29,3,2.321928094887362,0.814
30,3,2.321928094887362,0.732
31,3,2.321928094887362,0.959
32,3,2.321928094887362,0.868
33,3,2.321928094887362,0.605
34,3,2.321928094887362,0.768
35,3,2.321928094887362,0.649
36,3,2.321928094887362,0.605
37,3,2.321928094887362,0.642
38,3,2.321928094887362,0.605
39,3,2.321928094887362,1.165
40,3,1.874469117916141,0.668
41,3,1.874469117916141,0.524
42,3,1.874469117916141,0.66
43,3,1.874469117916141,0.596
44,3,1.874469117916141,0.551
45,3,1.874469117916141,0.641
46,3,1.874469117916141,0.569
47,3,1.874469117916141,0.849
48,3,1.874469117916141,0.687
49,3,1.874469117916141,0.624
50,3,1.874469117916141,0.541
51,3,1.874469117916141,1.049
52,3,1.874469117916141,0.849
53,3,1.874469117916141,0.579
54,3,1.874469117916141,0.669
55,3,1.874469117916141,0.497
56,3,1.874469117916141,0.669
57,3,1.874469117916141,0.596
58,3,1.874469117916141,0.66
59,3,1.874469117916141,0.532
60,3,1.874469117916141,0.615
61,3,1.874469117916141,0.651
62,3,1.874469117916141,0.587
63,3,1.874469117916141,0.642
64,3,1.874469117916141,0.886
65,3,1.874469117916141,1.563
66,3,1.874469117916141,0.823
67,3,1.874469117916141,0.524
68,3,1.874469117916141,1.175
69,3,1.874469117916141,1.284
70,3,1.874469117916141,0.894
71,3,1.874469117916141,0.696
72,3,1.874469117916141,0.597
73,3,1.874469117916141,0.813
74,3,1.874469117916141,1.139
75,3,1.874469117916141,0.632
76,3,1.874469117916141,0.632
77,3,1.874469117916141,0.867
78,3,1.874469117916141,0.805
79,3,1.874469117916141,0.966
80,3,1.584962500721156,0.542
81,3,1.584962500721156,0.488
82,3,1.584962500721156,0.569
83,3,1.584962500721156,0.414
84,3,1.584962500721156,0.56
85,3,1.584962500721156,0.509
86,3,1.584962500721156,0.444
87,3,1.584962500721156,0.452
88,3,1.584962500721156,2.133
89,3,1.584962500721156,0.65
90,3,1.584962500721156,0.542
91,3,1.584962500721156,0.531
92,3,1.584962500721156,0.487
93,3,1.584962500721156,0.596
94,3,1.584962500721156,0.506
95,3,1.584962500721156,0.568
96,3,1.584962500721156,0.723
97,3,1.584962500721156,0.524
98,3,1.584962500721156,0.588
99,3,1.584962500721156,0.497
100,3,1.584962500721156,0.597
101,3,1.584962500721156,0.524
102,3,1.584962500721156,0.533
103,3,1.584962500721156,0.66
104,3,1.584962500721156,0.506
105,3,1.584962500721156,0.787
106,3,1.584962500721156,0.614
107,3,1.584962500721156,0.469
108,3,1.584962500721156,0.805
109,3,1.584962500721156,0.47
110,3,1.584962500721156,0.714
111,3,1.584962500721156,0.488
112,3,1.584962500721156,0.634
113,3,1.584962500721156,0.596
114,3,1.584962500721156,0.696
115,3,1.584962500721156,0.533
116,3,1.584962500721156,0.76
117,3,1.584962500721156,0.524
118,3,1.584962500721156,0.659
119,3,1.584962500721156,0.595
120,3,3.169925001442312,1.507
121,3,3.169925001442312,1.048
122,3,3.169925001442312,1.31
123,3,3.169925001442312,1.147
124,3,3.169925001442312,0.859
125,3,3.169925001442312,0.886
126,3,3.169925001442312,1.112
127,3,3.169925001442312,0.848
128,3,3.169925001442312,1.201
129,3,3.169925001442312,1.148
130,3,3.169925001442312,1.88
131,3,3.169925001442312,1.076
132,3,3.169925001442312,1.229
133,3,3.169925001442312,1.508
134,3,3.169925001442312,0.741
135,3,3.169925001442312,0.996
136,3,3.169925001442312,1.211
137,3,3.169925001442312,2.033
138,3,3.169925001442312,0.805
139,3,3.169925001442312,0.958
140,3,3.169925001442312,2.087
141,3,3.169925001442312,1.446
142,3,3.169925001442312,1.681
143,3,3.169925001442312,1.031
144,3,3.169925001442312,1.101
145,3,3.169925001442312,0.913
146,3,3.169925001442312,1.818
147,3,3.169925001442312,1.834
148,3,3.169925001442312,1.898
149,3,3.169925001442312,1.148
150,3,3.169925001442312,1.075
151,3,3.169925001442312,1.21
152,3,3.169925001442312,1.129
153,3,3.169925001442312,0.994
154,3,3.169925001442312,0.894
155,3,3.169925001442312,0.922
156,3,3.169925001442312,0.967
157,3,3.169925001442312,1.174
158,3,3.169925001442312,1.031
159,3,3.169925001442312,2.151
160,3,2.662965012722429,0.931
161,3,2.662965012722429,1.066
162,3,2.662965012722429,0.938
163,3,2.662965012722429,0.858
164,3,2.662965012722429,0.766
165,3,2.662965012722429,0.793
166,3,2.662965012722429,0.74
167,3,2.662965012722429,0.795
168,3,2.662965012722429,0.856
169,3,2.662965012722429,0.768
170,3,2.662965012722429,0.787
171,3,2.662965012722429,1.039
172,3,2.662965012722429,0.641
173,3,2.662965012722429,0.758
174,3,2.662965012722429,0.777
175,3,2.662965012722429,0.705
176,3,2.662965012722429,0.993
177,3,2.662965012722429,0.922
178,3,2.662965012722429,0.895
179,3,2.662965012722429,0.849
180,3,2.662965012722429,0.984
181,3,2.662965012722429,1.003
182,3,2.662965012722429,1.238
183,3,2.662965012722429,0.976
184,3,2.662965012722429,1.075
185,3,2.662965012722429,0.705
186,3,2.662965012722429,0.976
187,3,2.662965012722429,0.859
188,3,2.662965012722429,0.932
189,3,2.662965012722429,0.849
190,3,2.662965012722429,1.067
191,3,2.662965012722429,0.822
192,3,2.662965012722429,0.796
193,3,2.662965012722429,1.102
194,3,2.662965012722429,0.823
195,3,2.662965012722429,0.894
196,3,2.662965012722429,1.03
197,3,2.662965012722429,0.885
198,3,2.662965012722429,1.211
199,3,2.662965012722429,0.877
200,3,2.321928094887362,0.813
201,3,2.321928094887362,0.822
202,3,2.321928094887362,0.723
203,3,2.321928094887362,0.922
204,3,2.321928094887362,0.624
