,norm,gamma
247,4.087462841250339,1.742
248,4.087462841250339,1.319
249,4.087462841250339,1.671
250,4.087462841250339,1.861
251,4.087462841250339,1.211
252,4.087462841250339,1.363
253,4.087462841250339,1.382
254,4.087462841250339,1.003
255,4.087462841250339,1.084
256,4.087462841250339,0.901
257,4.087462841250339,1.591
258,4.087462841250339,1.003
259,4.087462841250339,1.926
260,4.087462841250339,2.547
261,4.087462841250339,1.454
262,4.087462841250339,1.292
263,4.087462841250339,2.251
264,4.087462841250339,2.341
265,4.087462841250339,1.293
266,4.087462841250339,1.88
267,4.087462841250339,1.012
268,4.087462841250339,1.491
269,4.087462841250339,1.473
270,4.087462841250339,1.464
271,4.087462841250339,1.138
272,4.087462841250339,2.169
273,4.087462841250339,1.284
274,4.087462841250339,1.319
275,4.087462841250339,1.075
276,4.087462841250339,1.499
277,4.087462841250339,1.419
278,4.087462841250339,1.338
279,4.087462841250339,1.699
280,3.5443205162238103,1.427
281,3.5443205162238103,0.877
282,3.5443205162238103,1.193
283,3.5443205162238103,1.229
284,3.5443205162238103,1.5
285,3.5443205162238103,1.625
286,3.5443205162238103,1.102
287,3.5443205162238103,0.848
288,3.5443205162238103,1.102
289,3.5443205162238103,1.065
290,3.5443205162238103,0.994
291,3.5443205162238103,0.976
292,3.5443205162238103,2.133
293,3.5443205162238103,0.904
294,3.5443205162238103,1.455
295,3.5443205162238103,0.977
296,3.5443205162238103,1.239
297,3.5443205162238103,1.111
298,3.5443205162238103,1.363
299,3.5443205162238103,1.473
300,3.5443205162238103,1.101
301,3.5443205162238103,2.492
302,3.5443205162238103,1.507
303,3.5443205162238103,1.238
304,3.5443205162238103,1.348
305,3.5443205162238103,1.346
306,3.5443205162238103,1.04
307,3.5443205162238103,1.427
308,3.5443205162238103,1.437
309,3.5443205162238103,1.301
310,3.5443205162238103,1.048
311,3.5443205162238103,1.682
312,3.5443205162238103,1.329
313,3.5443205162238103,0.894
314,3.5443205162238103,1.211
315,3.5443205162238103,0.901
316,3.5443205162238103,1.292
317,3.5443205162238103,1.291
318,3.5443205162238103,1.031
319,3.5443205162238103,1.338
320,3.169925001442312,1.102
321,3.169925001442312,1.148
322,3.169925001442312,1.156
