participant,strategy,repetition,ide,mt
1,1,1,2.1726942701301497,0.6099999999999999
1,1,1,2.1726942701301497,0.6400000000000006
1,1,1,2.1726942701301497,0.6999999999999993
1,1,1,2.1726942701301497,0.5700000000000003
1,1,1,2.1726942701301497,0.4900000000000002
1,1,1,2.1726942701301497,0.6099999999999994
1,1,1,2.1726942701301497,0.5100000000000016
1,1,1,2.1726942701301497,0.34999999999999787
1,1,1,2.1726942701301497,0.7199999999999989
1,1,1,2.1726942701301497,0.5300000000000011
1,1,1,2.1726942701301497,0.3999999999999986
1,1,1,2.1726942701301497,0.5200000000000031
1,1,1,2.1726942701301497,0.6200000000000045
1,1,1,2.1726942701301497,0.4099999999999966
1,1,1,2.1726942701301497,0.46999999999999886
1,1,1,2.1726942701301497,0.5499999999999972
1,1,2,2.007277229224584,0.5499999999999999
1,1,2,2.007277229224584,1.0599999999999996
1,1,2,2.007277229224584,0.8399999999999999
1,1,2,2.007277229224584,1.1600000000000001
1,1,2,2.007277229224584,0.8399999999999999
1,1,2,2.007277229224584,0.6799999999999997
1,1,2,2.007277229224584,0.7300000000000004
1,1,2,2.007277229224584,0.8900000000000006
1,1,2,2.007277229224584,0.8900000000000006
1,1,2,2.007277229224584,0.8499999999999979
1,1,2,2.007277229224584,0.5999999999999979
1,1,2,2.007277229224584,0.7600000000000051
1,1,2,2.007277229224584,0.46999999999999886
1,1,2,2.007277229224584,0.8500000000000014
1,1,2,2.007277229224584,1.6899999999999977
1,1,2,2.007277229224584,0.6900000000000048
1,1,3,2.1792872415901785,0.9600000000000002
1,1,3,2.1792872415901785,0.9000000000000004
1,1,3,2.1792872415901785,0.7900000000000009
1,1,3,2.1792872415901785,0.8300000000000001
1,1,3,2.1792872415901785,0.7199999999999989
1,1,3,2.1792872415901785,0.8900000000000006
1,1,3,2.1792872415901785,0.7100000000000009
1,1,3,2.1792872415901785,1.0499999999999972
1,1,3,2.1792872415901785,1.1999999999999993
1,1,3,2.1792872415901785,1.0300000000000011
1,1,3,2.1792872415901785,0.5
