"",Participant,MT,strategy,repetition,IDe
0,15,0.56,1,3,2.596529533605457
1,15,1.0799999999999998,1,3,2.596529533605457
2,15,0.41000000000000014,1,3,2.596529533605457
3,15,0.3899999999999997,1,3,2.596529533605457
4,15,0.5499999999999998,1,3,2.596529533605457
5,15,0.6200000000000001,1,3,2.596529533605457
6,15,0.5500000000000007,1,3,2.596529533605457
7,15,0.47000000000000064,1,3,2.596529533605457
8,15,0.5,1,3,2.596529533605457
9,15,0.7100000000000009,1,3,2.596529533605457
10,15,0.4299999999999997,1,3,2.596529533605457
11,15,0.5,1,3,2.596529533605457
12,15,0.4299999999999997,1,3,2.596529533605457
13,15,0.5599999999999987,1,3,2.596529533605457
14,15,0.4700000000000024,1,3,2.596529533605457
15,15,0.6099999999999994,1,3,2.596529533605457
16,15,1.33,5,2,7.632393145562037
17,15,1.2400000000000002,5,2,7.632393145562037
18,15,1.7599999999999998,5,2,7.632393145562037
19,15,1.7199999999999989,5,2,7.632393145562037
20,15,1.370000000000001,5,2,7.632393145562037
21,15,1.4399999999999977,5,2,7.632393145562037
22,15,1.6600000000000001,5,2,7.632393145562037
23,15,1.0700000000000003,5,2,7.632393145562037
24,15,0.8200000000000003,5,2,7.632393145562037
25,15,1.370000000000001,5,2,7.632393145562037
26,15,1.6700000000000017,5,2,7.632393145562037
27,15,1.75,5,2,7.632393145562037
28,15,1.759999999999998,5,2,7.632393145562037
29,15,1.2000000000000028,5,2,7.632393145562037
30,15,1.9200000000000017,5,2,7.632393145562037
31,15,1.1600000000000037,5,2,7.632393145562037
32,15,0.55,3,1,3.1660195130839295
33,15,0.5800000000000001,3,1,3.1660195130839295
34,15,1.0,3,1,3.1660195130839295
35,15,1.2400000000000002,3,1,3.1660195130839295
36,15,0.7799999999999994,3,1,3.1660195130839295
37,15,0.7900000000000009,3,1,3.1660195130839295
38,15,0.8600000000000012,3,1,3.1660195130839295
39,15,0.7799999999999994,3,1,3.1660195130839295
40,15,0.46000000000000085,3,1,3.1660195130839295
41,15,0.7199999999999989,3,1,3.1660195130839295
42,15,0.8900000000000006,3,1,3.1660195130839295
43,15,0.9199999999999982,3,1,3.1660195130839295
44,15,0.8499999999999979,3,1,3.1660195130839295
45,15,0.5499999999999972,3,1,3.1660195130839295
46,15,1.120000000000001,3,1,3.1660195130839295
47,15,0.480000000000004,3,1,3.1660195130839295
48,15,0.43000000000000016,2,3,3.112070061411595
49,15,0.79,2,3,3.112070061411595
50,15,0.9499999999999993,2,3,3.112070061411595
51,15,0.5,2,3,3.112070061411595
52,15,0.8599999999999994,2,3,3.112070061411595
53,15,0.7200000000000006,2,3,3.112070061411595
54,15,0.6100000000000012,2,3,3.112070061411595
55,15,0.7000000000000011,2,3,3.112070061411595
56,15,0.45000000000000107,2,3,3.112070061411595
57,15,0.5800000000000018,2,3,3.112070061411595
58,15,0.8300000000000018,2,3,3.112070061411595
59,15,0.8200000000000003,2,3,3.112070061411595
60,15,0.6600000000000001,2,3,3.112070061411595
61,15,0.6999999999999993,2,3,3.112070061411595
62,15,0.46000000000000085,2,3,3.112070061411595
63,15,0.5500000000000007,2,3,3.112070061411595
64,15,0.3800000000000001,1,4,2.2219707238732926
65,15,0.33999999999999986,1,4,2.2219707238732926
66,15,0.48999999999999977,1,4,2.2219707238732926
67,15,0.3600000000000003,1,4,2.2219707238732926
68,15,0.33999999999999986,1,4,2.2219707238732926
69,15,0.4399999999999995,1,4,2.2219707238732926
70,15,0.46000000000000085,1,4,2.2219707238732926
71,15,0.5099999999999998,1,4,2.2219707238732926
72,15,0.3600000000000012,1,4,2.2219707238732926
73,15,0.4800000000000004,1,4,2.2219707238732926
74,15,0.3899999999999988,1,4,2.2219707238732926
75,15,0.370000000000001,1,4,2.2219707238732926
76,15,0.41000000000000014,1,4,2.2219707238732926
77,15,0.4800000000000004,1,4,2.2219707238732926
78,15,0.3500000000000014,1,4,2.2219707238732926
79,15,0.5199999999999996,1,4,2.2219707238732926
80,15,0.3099999999999987,1,4,2.2219707238732926
81,15,0.4299999999999997,1,4,2.2219707238732926
82,15,0.41000000000000014,1,4,2.2219707238732926
83,15,0.6200000000000001,2,4,3.5395487781820454
84,15,0.45999999999999996,2,4,3.5395487781820454
85,15,0.6600000000000006,2,4,3.5395487781820454
86,15,0.5999999999999996,2,4,3.5395487781820454
87,15,0.47000000000000064,2,4,3.5395487781820454
88,15,0.5300000000000011,2,4,3.5395487781820454
89,15,0.9499999999999993,2,4,3.5395487781820454
90,15,0.7799999999999994,2,4,3.5395487781820454
91,15,0.629999999999999,2,4,3.5395487781820454
92,15,0.5700000000000003,2,4,3.5395487781820454
93,15,0.6699999999999999,2,4,3.5395487781820454
94,15,0.5,2,4,3.5395487781820454
95,15,0.7099999999999973,2,4,3.5395487781820454
96,15,0.5300000000000011,2,4,3.5395487781820454
97,15,0.5299999999999976,2,4,3.5395487781820454
98,15,0.5999999999999979,2,4,3.5395487781820454
99,15,0.8299999999999998,4,3,3.4826632424367814
100,15,1.0800000000000005,4,3,3.4826632424367814
101,15,1.3500000000000005,4,3,3.4826632424367814
102,15,0.6200000000000001,4,3,3.4826632424367814
103,15,1.0099999999999998,4,3,3.4826632424367814
104,15,0.7400000000000002,4,3,3.4826632424367814
105,15,0.5499999999999989,4,3,3.4826632424367814
106,15,0.5599999999999987,4,3,3.4826632424367814
107,15,0.6400000000000006,4,3,3.4826632424367814
108,15,0.5800000000000018,4,3,3.4826632424367814
109,15,0.8699999999999974,4,3,3.4826632424367814
110,15,0.6199999999999974,4,3,3.4826632424367814
111,15,0.9299999999999997,4,3,3.4826632424367814
112,15,0.4800000000000004,4,3,3.4826632424367814
113,15,0.620000000000001,4,3,3.4826632424367814
114,15,0.5,4,3,3.4826632424367814
115,15,0.98,1,2,2.514725540548006
116,15,0.5899999999999999,1,2,2.514725540548006
117,15,0.33999999999999986,1,2,2.514725540548006
118,15,0.6400000000000006,1,2,2.514725540548006
119,15,0.41000000000000014,1,2,2.514725540548006
120,15,0.45999999999999996,1,2,2.514725540548006
121,15,0.33000000000000007,1,2,2.514725540548006
122,15,0.5199999999999996,1,2,2.514725540548006
123,15,0.3699999999999992,1,2,2.514725540548006
124,15,0.5499999999999989,1,2,2.514725540548006
125,15,0.379999999999999,1,2,2.514725540548006
126,15,0.48999999999999844,1,2,2.514725540548006
127,15,0.46000000000000085,1,2,2.514725540548006
128,15,0.509999999999998,1,2,2.514725540548006
129,15,0.46000000000000085,1,2,2.514725540548006
130,15,0.4700000000000024,1,2,2.514725540548006
131,15,1.29,4,1,2.927036753268852
132,15,1.4300000000000002,4,1,2.927036753268852
133,15,0.5300000000000002,4,1,2.927036753268852
134,15,1.2699999999999996,4,1,2.927036753268852
135,15,0.9299999999999997,4,1,2.927036753268852
136,15,1.17,4,1,2.927036753268852
137,15,1.0300000000000011,4,1,2.927036753268852
138,15,1.1000000000000014,4,1,2.927036753268852
139,15,0.5399999999999991,4,1,2.927036753268852
140,15,1.1000000000000014,4,1,2.927036753268852
141,15,1.0899999999999999,4,1,2.927036753268852
142,15,1.0100000000000016,4,1,2.927036753268852
143,15,0.629999999999999,4,1,2.927036753268852
144,15,0.8900000000000006,4,1,2.927036753268852
145,15,0.5200000000000031,4,1,2.927036753268852
146,15,0.9600000000000009,4,1,2.927036753268852
147,15,0.74,1,5,3.109438101832654
148,15,0.38000000000000034,1,5,3.109438101832654
149,15,0.6499999999999999,1,5,3.109438101832654
150,15,0.47000000000000064,1,5,3.109438101832654
151,15,0.5200000000000005,1,5,3.109438101832654
152,15,0.47000000000000064,1,5,3.109438101832654
153,15,0.39000000000000057,1,5,3.109438101832654
154,15,0.41999999999999993,1,5,3.109438101832654
155,15,0.41999999999999993,1,5,3.109438101832654
156,15,0.45000000000000107,1,5,3.109438101832654
157,15,0.40999999999999837,1,5,3.109438101832654
158,15,0.47000000000000064,1,5,3.109438101832654
159,15,0.45000000000000284,1,5,3.109438101832654
160,15,0.4400000000000013,1,5,3.109438101832654
161,15,0.5199999999999996,1,5,3.109438101832654
162,15,0.6500000000000021,1,5,3.109438101832654
163,15,0.42,2,2,3.1478891831373548
164,15,0.78,2,2,3.1478891831373548
165,15,0.8700000000000001,2,2,3.1478891831373548
166,15,0.4300000000000006,2,2,3.1478891831373548
167,15,0.5800000000000001,2,2,3.1478891831373548
168,15,0.7400000000000002,2,2,3.1478891831373548
169,15,0.4900000000000002,2,2,3.1478891831373548
170,15,0.6300000000000008,2,2,3.1478891831373548
171,15,0.6300000000000008,2,2,3.1478891831373548
172,15,0.7199999999999989,2,2,3.1478891831373548
173,15,0.5499999999999972,2,2,3.1478891831373548
174,15,0.7399999999999984,2,2,3.1478891831373548
175,15,0.6400000000000006,2,2,3.1478891831373548
176,15,0.7699999999999996,2,2,3.1478891831373548
177,15,0.5399999999999991,2,2,3.1478891831373548
178,15,0.8000000000000007,2,2,3.1478891831373548
179,15,1.61,2,1,2.6879619315890366
