"",participant,day,iteration,A,W,ID,IDe(2d),Duration
20880,12,1,0,1024,96,3.5443,3.384,0.813
20881,12,1,0,1024,96,3.5443,3.384,1.082
20882,12,1,0,1024,96,3.5443,3.384,0.975
20883,12,1,0,1024,96,3.5443,3.384,1.112
20884,12,1,0,1024,96,3.5443,3.384,1.21
20885,12,1,0,1024,96,3.5443,3.384,1.093
20886,12,1,0,1024,96,3.5443,3.384,1.618
20887,12,1,0,1024,96,3.5443,3.384,1.519
20888,12,1,0,1024,96,3.5443,3.384,1.4
20889,12,1,0,1024,96,3.5443,3.384,1.193
20890,12,1,0,1024,96,3.5443,3.384,1.862
20891,12,1,0,1024,96,3.5443,3.384,1.283
20892,12,1,0,1024,96,3.5443,3.384,1.428
20893,12,1,0,1024,96,3.5443,3.384,1.291
20894,12,1,0,1024,96,3.5443,3.384,1.238
20895,12,1,0,1024,96,3.5443,3.384,1.256
20896,12,1,0,1024,96,3.5443,3.384,1.128
20897,12,1,0,1024,96,3.5443,3.384,1.29
20898,12,1,0,1024,96,3.5443,3.384,1.301
20899,12,1,0,1024,96,3.5443,3.384,1.299
20900,12,1,0,1024,64,4.0875,4.297,0.967
20901,12,1,0,1024,64,4.0875,4.297,1.265
20902,12,1,0,1024,64,4.0875,4.297,1.645
20903,12,1,0,1024,64,4.0875,4.297,1.347
20904,12,1,0,1024,64,4.0875,4.297,1.419
20905,12,1,0,1024,64,4.0875,4.297,1.003
20906,12,1,0,1024,64,4.0875,4.297,1.276
20907,12,1,0,1024,64,4.0875,4.297,1.308
20908,12,1,0,1024,64,4.0875,4.297,1.256
20909,12,1,0,1024,64,4.0875,4.297,1.98
20910,12,1,0,1024,64,4.0875,4.297,1.437
20911,12,1,0,1024,64,4.0875,4.297,1.779
20912,12,1,0,1024,64,4.0875,4.297,1.665
20913,12,1,0,1024,64,4.0875,4.297,1.554
20914,12,1,0,1024,64,4.0875,4.297,1.564
20915,12,1,0,1024,64,4.0875,4.297,1.717
20916,12,1,0,1024,64,4.0875,4.297,1.862
20917,12,1,0,1024,64,4.0875,4.297,1.407
20918,12,1,0,1024,64,4.0875,4.297,1.554
20919,12,1,0,1024,64,4.0875,4.297,1.048
20920,12,1,0,1024,128,3.1699,3.0185,0.929
20921,12,1,0,1024,128,3.1699,3.0185,0.849
20922,12,1,0,1024,128,3.1699,3.0185,0.85
20923,12,1,0,1024,128,3.1699,3.0185,1.055
20924,12,1,0,1024,128,3.1699,3.0185,0.786
20925,12,1,0,1024,128,3.1699,3.0185,0.723
20926,12,1,0,1024,128,3.1699,3.0185,0.767
20927,12,1,0,1024,128,3.1699,3.0185,0.759
20928,12,1,0,1024,128,3.1699,3.0185,0.958
20929,12,1,0,1024,128,3.1699,3.0185,0.768
20930,12,1,0,1024,128,3.1699,3.0185,1.572
20931,12,1,0,1024,128,3.1699,3.0185,1.898
20932,12,1,0,1024,128,3.1699,3.0185,0.976
20933,12,1,0,1024,128,3.1699,3.0185,1.118
20934,12,1,0,1024,128,3.1699,3.0185,0.877
20935,12,1,0,1024,128,3.1699,3.0185,0.804
20936,12,1,0,1024,128,3.1699,3.0185,1.075
20937,12,1,0,1024,128,3.1699,3.0185,0.876
20938,12,1,0,1024,128,3.1699,3.0185,1.084
20939,12,1,0,1024,128,3.1699,3.0185,1.129
20940,12,1,0,256,96,1.8745,2.0422,0.759
20941,12,1,0,256,96,1.8745,2.0422,0.651
20942,12,1,0,256,96,1.8745,2.0422,0.688
20943,12,1,0,256,96,1.8745,2.0422,0.821
20944,12,1,0,256,96,1.8745,2.0422,0.57
20945,12,1,0,256,96,1.8745,2.0422,0.506
20946,12,1,0,256,96,1.8745,2.0422,0.687
20947,12,1,0,256,96,1.8745,2.0422,1.77
20948,12,1,0,256,96,1.8745,2.0422,0.74
20949,12,1,0,256,96,1.8745,2.0422,0.614
20950,12,1,0,256,96,1.8745,2.0422,0.605
20951,12,1,0,256,96,1.8745,2.0422,1.78
