"",participant,day,iteration,A,W,ID,IDe(2d),Duration
20640,9,1,1,1024,96,3.5443,3.4418,1.004
20641,9,1,1,1024,96,3.5443,3.4418,0.894
20642,9,1,1,1024,96,3.5443,3.4418,0.922
20643,9,1,1,1024,96,3.5443,3.4418,0.921
20644,9,1,1,1024,96,3.5443,3.4418,1.085
20645,9,1,1,1024,96,3.5443,3.4418,0.849
20646,9,1,1,1024,96,3.5443,3.4418,0.894
20647,9,1,1,1024,96,3.5443,3.4418,0.93
20648,9,1,1,1024,96,3.5443,3.4418,1.066
20649,9,1,1,1024,96,3.5443,3.4418,0.932
20650,9,1,1,1024,96,3.5443,3.4418,1.192
20651,9,1,1,1024,96,3.5443,3.4418,1.14
20652,9,1,1,1024,96,3.5443,3.4418,0.975
20653,9,1,1,1024,96,3.5443,3.4418,1.139
20654,9,1,1,1024,96,3.5443,3.4418,1.129
20655,9,1,1,1024,96,3.5443,3.4418,2.052
20656,9,1,1,1024,96,3.5443,3.4418,1.039
20657,9,1,1,1024,96,3.5443,3.4418,1.084
20658,9,1,1,1024,96,3.5443,3.4418,1.854
20659,9,1,1,1024,96,3.5443,3.4418,0.676
20660,9,1,1,1024,128,3.1699,3.0193,0.983
20661,9,1,1,1024,128,3.1699,3.0193,0.893
20662,9,1,1,1024,128,3.1699,3.0193,0.901
20663,9,1,1,1024,128,3.1699,3.0193,0.832
20664,9,1,1,1024,128,3.1699,3.0193,0.66
20665,9,1,1,1024,128,3.1699,3.0193,0.677
20666,9,1,1,1024,128,3.1699,3.0193,0.696
20667,9,1,1,1024,128,3.1699,3.0193,0.722
20668,9,1,1,1024,128,3.1699,3.0193,0.641
20669,9,1,1,1024,128,3.1699,3.0193,0.797
20670,9,1,1,1024,128,3.1699,3.0193,0.866
20671,9,1,1,1024,128,3.1699,3.0193,0.94
20672,9,1,1,1024,128,3.1699,3.0193,1.058
20673,9,1,1,1024,128,3.1699,3.0193,0.66
20674,9,1,1,1024,128,3.1699,3.0193,1.69
20675,9,1,1,1024,128,3.1699,3.0193,1.048
20676,9,1,1,1024,128,3.1699,3.0193,1.164
20677,9,1,1,1024,128,3.1699,3.0193,0.959
20678,9,1,1,1024,128,3.1699,3.0193,0.642
20679,9,1,1,1024,128,3.1699,3.0193,0.713
20680,9,1,1,1024,64,4.0875,3.9467,1.175
20681,9,1,1,1024,64,4.0875,3.9467,0.94
20682,9,1,1,1024,64,4.0875,3.9467,1.03
20683,9,1,1,1024,64,4.0875,3.9467,0.958
20684,9,1,1,1024,64,4.0875,3.9467,0.904
20685,9,1,1,1024,64,4.0875,3.9467,0.732
20686,9,1,1,1024,64,4.0875,3.9467,0.749
20687,9,1,1,1024,64,4.0875,3.9467,1.075
20688,9,1,1,1024,64,4.0875,3.9467,1.139
20689,9,1,1,1024,64,4.0875,3.9467,2.016
20690,9,1,1,1024,64,4.0875,3.9467,1.311
20691,9,1,1,1024,64,4.0875,3.9467,1.175
20692,9,1,1,1024,64,4.0875,3.9467,1.04
20693,9,1,1,1024,64,4.0875,3.9467,1.049
20694,9,1,1,1024,64,4.0875,3.9467,1.246
20695,9,1,1,1024,64,4.0875,3.9467,0.867
20696,9,1,1,1024,64,4.0875,3.9467,1.138
20697,9,1,1,1024,64,4.0875,3.9467,0.786
20698,9,1,1,1024,64,4.0875,3.9467,0.868
20699,9,1,1,1024,64,4.0875,3.9467,1.102
20700,9,1,1,256,96,1.8745,1.7778,0.542
20701,9,1,1,256,96,1.8745,1.7778,0.471
20702,9,1,1,256,96,1.8745,1.7778,0.487
20703,9,1,1,256,96,1.8745,1.7778,0.461
20704,9,1,1,256,96,1.8745,1.7778,1.401
20705,9,1,1,256,96,1.8745,1.7778,0.452
20706,9,1,1,256,96,1.8745,1.7778,0.425
20707,9,1,1,256,96,1.8745,1.7778,1.273
20708,9,1,1,256,96,1.8745,1.7778,0.397
20709,9,1,1,256,96,1.8745,1.7778,0.56
20710,9,1,1,256,96,1.8745,1.7778,0.451
20711,9,1,1,256,96,1.8745,1.7778,0.469
20712,9,1,1,256,96,1.8745,1.7778,0.442
20713,9,1,1,256,96,1.8745,1.7778,0.478
20714,9,1,1,256,96,1.8745,1.7778,1.701
20715,9,1,1,256,96,1.8745,1.7778,0.714
20716,9,1,1,256,96,1.8745,1.7778,0.49
20717,9,1,1,256,96,1.8745,1.7778,0.433
20718,9,1,1,256,96,1.8745,1.7778,0.432
20719,9,1,1,256,96,1.8745,1.7778,0.497
20720,9,1,1,256,128,1.585,1.4868,0.524
20721,9,1,1,256,128,1.585,1.4868,0.388
20722,9,1,1,256,128,1.585,1.4868,0.506
20723,9,1,1,256,128,1.585,1.4868,0.424
20724,9,1,1,256,128,1.585,1.4868,0.488
20725,9,1,1,256,128,1.585,1.4868,0.423
20726,9,1,1,256,128,1.585,1.4868,0.461
20727,9,1,1,256,128,1.585,1.4868,0.386
20728,9,1,1,256,128,1.585,1.4868,0.434
20729,9,1,1,256,128,1.585,1.4868,0.434
20730,9,1,1,256,128,1.585,1.4868,0.461
20731,9,1,1,256,128,1.585,1.4868,0.469
20732,9,1,1,256,128,1.585,1.4868,0.379
20733,9,1,1,256,128,1.585,1.4868,0.46
20734,9,1,1,256,128,1.585,1.4868,0.425
20735,9,1,1,256,128,1.585,1.4868,0.506
20736,9,1,1,256,128,1.585,1.4868,0.37
20737,9,1,1,256,128,1.585,1.4868,0.424
20738,9,1,1,256,128,1.585,1.4868,0.461
20739,9,1,1,256,128,1.585,1.4868,0.451
20740,9,1,1,256,64,2.3219,2.2335,0.886
20741,9,1,1,256,64,2.3219,2.2335,0.922
20742,9,1,1,256,64,2.3219,2.2335,0.522
20743,9,1,1,256,64,2.3219,2.2335,0.561
20744,9,1,1,256,64,2.3219,2.2335,0.506
20745,9,1,1,256,64,2.3219,2.2335,0.452
20746,9,1,1,256,64,2.3219,2.2335,0.495
20747,9,1,1,256,64,2.3219,2.2335,0.678
20748,9,1,1,256,64,2.3219,2.2335,0.586
20749,9,1,1,256,64,2.3219,2.2335,0.486
20750,9,1,1,256,64,2.3219,2.2335,0.506
20751,9,1,1,256,64,2.3219,2.2335,0.723
20752,9,1,1,256,64,2.3219,2.2335,0.542
20753,9,1,1,256,64,2.3219,2.2335,0.804
20754,9,1,1,256,64,2.3219,2.2335,0.543
