"",participant,day,iteration,A,W,ID,IDe(2d),Duration
3120,2,2,2,1024,64,4.0875,3.7712,1.428
3121,2,2,2,1024,64,4.0875,3.7712,1.581
3122,2,2,2,1024,64,4.0875,3.7712,1.615
3123,2,2,2,1024,64,4.0875,3.7712,1.4
3124,2,2,2,1024,64,4.0875,3.7712,1.221
3125,2,2,2,1024,64,4.0875,3.7712,1.021
3126,2,2,2,1024,64,4.0875,3.7712,1.335
3127,2,2,2,1024,64,4.0875,3.7712,1.383
3128,2,2,2,1024,64,4.0875,3.7712,2.077
3129,2,2,2,1024,64,4.0875,3.7712,1.343
3130,2,2,2,1024,64,4.0875,3.7712,1.391
3131,2,2,2,1024,64,4.0875,3.7712,1.157
3132,2,2,2,1024,64,4.0875,3.7712,1.382
3133,2,2,2,1024,64,4.0875,3.7712,1.339
3134,2,2,2,1024,64,4.0875,3.7712,2.268
3135,2,2,2,1024,64,4.0875,3.7712,1.164
3136,2,2,2,1024,64,4.0875,3.7712,1.852
3137,2,2,2,1024,64,4.0875,3.7712,1.166
3138,2,2,2,1024,64,4.0875,3.7712,1.5
3139,2,2,2,1024,64,4.0875,3.7712,1.32
3140,2,2,2,1024,128,3.1699,3.1102,0.849
3141,2,2,2,1024,128,3.1699,3.1102,0.803
3142,2,2,2,1024,128,3.1699,3.1102,0.866
3143,2,2,2,1024,128,3.1699,3.1102,0.895
3144,2,2,2,1024,128,3.1699,3.1102,0.956
3145,2,2,2,1024,128,3.1699,3.1102,0.85
3146,2,2,2,1024,128,3.1699,3.1102,0.786
3147,2,2,2,1024,128,3.1699,3.1102,1.058
3148,2,2,2,1024,128,3.1699,3.1102,0.85
3149,2,2,2,1024,128,3.1699,3.1102,1.781
3150,2,2,2,1024,128,3.1699,3.1102,0.931
3151,2,2,2,1024,128,3.1699,3.1102,0.967
3152,2,2,2,1024,128,3.1699,3.1102,1.01
3153,2,2,2,1024,128,3.1699,3.1102,0.976
3154,2,2,2,1024,128,3.1699,3.1102,1.112
3155,2,2,2,1024,128,3.1699,3.1102,0.722
3156,2,2,2,1024,128,3.1699,3.1102,0.705
3157,2,2,2,1024,128,3.1699,3.1102,1.048
3158,2,2,2,1024,128,3.1699,3.1102,0.821
3159,2,2,2,1024,128,3.1699,3.1102,0.75
3160,2,2,2,1024,96,3.5443,3.4107,1.2
3161,2,2,2,1024,96,3.5443,3.4107,0.904
3162,2,2,2,1024,96,3.5443,3.4107,1.123
3163,2,2,2,1024,96,3.5443,3.4107,1.18
3164,2,2,2,1024,96,3.5443,3.4107,1.146
3165,2,2,2,1024,96,3.5443,3.4107,0.895
3166,2,2,2,1024,96,3.5443,3.4107,1.555
3167,2,2,2,1024,96,3.5443,3.4107,1.428
3168,2,2,2,1024,96,3.5443,3.4107,1.716
3169,2,2,2,1024,96,3.5443,3.4107,0.804
3170,2,2,2,1024,96,3.5443,3.4107,0.986
3171,2,2,2,1024,96,3.5443,3.4107,0.957
3172,2,2,2,1024,96,3.5443,3.4107,0.976
3173,2,2,2,1024,96,3.5443,3.4107,0.849
3174,2,2,2,1024,96,3.5443,3.4107,1.356
3175,2,2,2,1024,96,3.5443,3.4107,1.192
3176,2,2,2,1024,96,3.5443,3.4107,0.913
3177,2,2,2,1024,96,3.5443,3.4107,1.183
3178,2,2,2,1024,96,3.5443,3.4107,1.085
3179,2,2,2,1024,96,3.5443,3.4107,1.048
3180,2,2,2,512,64,3.1699,2.9153,1.762
3181,2,2,2,512,64,3.1699,2.9153,1.292
3182,2,2,2,512,64,3.1699,2.9153,0.849
3183,2,2,2,512,64,3.1699,2.9153,1.083
3184,2,2,2,512,64,3.1699,2.9153,0.886
3185,2,2,2,512,64,3.1699,2.9153,1.284
3186,2,2,2,512,64,3.1699,2.9153,0.922
3187,2,2,2,512,64,3.1699,2.9153,0.883
3188,2,2,2,512,64,3.1699,2.9153,0.976
3189,2,2,2,512,64,3.1699,2.9153,0.669
3190,2,2,2,512,64,3.1699,2.9153,0.813
3191,2,2,2,512,64,3.1699,2.9153,0.723
3192,2,2,2,512,64,3.1699,2.9153,0.948
3193,2,2,2,512,64,3.1699,2.9153,1.04
3194,2,2,2,512,64,3.1699,2.9153,0.741
3195,2,2,2,512,64,3.1699,2.9153,1.382
3196,2,2,2,512,64,3.1699,2.9153,1.401
3197,2,2,2,512,64,3.1699,2.9153,0.994
3198,2,2,2,512,64,3.1699,2.9153,0.786
3199,2,2,2,512,64,3.1699,2.9153,0.958
3200,2,2,2,512,128,2.3219,2.033,0.623
3201,2,2,2,512,128,2.3219,2.033,0.768
3202,2,2,2,512,128,2.3219,2.033,0.677
3203,2,2,2,512,128,2.3219,2.033,0.85
3204,2,2,2,512,128,2.3219,2.033,0.551
3205,2,2,2,512,128,2.3219,2.033,0.785
3206,2,2,2,512,128,2.3219,2.033,0.597
3207,2,2,2,512,128,2.3219,2.033,0.632
3208,2,2,2,512,128,2.3219,2.033,0.678
3209,2,2,2,512,128,2.3219,2.033,0.85
3210,2,2,2,512,128,2.3219,2.033,0.84
3211,2,2,2,512,128,2.3219,2.033,0.651
3212,2,2,2,512,128,2.3219,2.033,0.66
3213,2,2,2,512,128,2.3219,2.033,0.614
3214,2,2,2,512,128,2.3219,2.033,0.795
3215,2,2,2,512,128,2.3219,2.033,1.473
3216,2,2,2,512,128,2.3219,2.033,0.84
3217,2,2,2,512,128,2.3219,2.033,0.586
3218,2,2,2,512,128,2.3219,2.033,0.723
3219,2,2,2,512,128,2.3219,2.033,0.859
3220,2,2,2,512,96,2.663,2.5096,0.614
3221,2,2,2,512,96,2.663,2.5096,0.623
3222,2,2,2,512,96,2.663,2.5096,1.048
3223,2,2,2,512,96,2.663,2.5096,0.687
3224,2,2,2,512,96,2.663,2.5096,0.949
3225,2,2,2,512,96,2.663,2.5096,0.634
3226,2,2,2,512,96,2.663,2.5096,0.696
3227,2,2,2,512,96,2.663,2.5096,1.437
