Unnamed: 0,Participant,MT,strategy,repetition,IDe
2989,1,1.3000000000000005,4,5,6.9410053866100805
2990,1,2.06,4,5,6.9410053866100805
2991,1,1.7199999999999998,4,5,6.9410053866100805
2992,1,1.5600000000000005,4,5,6.9410053866100805
2993,1,1.1199999999999992,4,5,6.9410053866100805
2994,1,1.9700000000000024,4,5,6.9410053866100805
2995,1,1.6000000000000014,4,5,6.9410053866100805
2996,1,1.6799999999999995,4,5,6.9410053866100805
2997,1,2.0799999999999983,4,5,6.9410053866100805
2998,1,1.2399999999999984,4,5,6.9410053866100805
2999,1,0.9699999999999988,4,5,6.9410053866100805
3000,1,1.6000000000000014,4,5,6.9410053866100805
3001,1,1.6600000000000037,4,5,6.9410053866100805
3002,1,1.2899999999999991,4,5,6.9410053866100805
3003,1,1.4499999999999955,4,5,6.9410053866100805
3004,1,1.980000000000004,4,5,6.9410053866100805
