Unnamed: 0,Participant,MT,strategy,repetition,IDe
863,13,3.4400000000000004,5,2,8.232735708513411
864,13,3.299999999999999,5,2,8.232735708513411
865,13,3.620000000000001,5,2,8.232735708513411
866,13,2.530000000000001,5,2,8.232735708513411
867,13,2.349999999999998,5,2,8.232735708513411
868,13,1.4699999999999989,5,2,8.232735708513411
869,13,4.140000000000001,5,2,8.232735708513411
870,13,3.1499999999999986,5,2,8.232735708513411
871,13,2.789999999999999,5,2,8.232735708513411
872,13,2.190000000000005,5,2,8.232735708513411
873,13,4.130000000000003,5,2,8.232735708513411
874,13,2.4399999999999977,5,2,8.232735708513411
875,13,3.079999999999991,5,2,8.232735708513411
876,13,2.3200000000000074,5,2,8.232735708513411
877,13,3.1599999999999966,5,2,8.232735708513411
878,13,1.789999999999992,5,2,8.232735708513411
