Unnamed: 0,Participant,MT,strategy,repetition,IDe
3658,16,2.26,4,2,7.284025244336951
3659,16,1.8599999999999997,4,2,7.284025244336951
3660,16,2.4499999999999997,4,2,7.284025244336951
3661,16,2.28,4,2,7.284025244336951
3662,16,1.2300000000000004,4,2,7.284025244336951
3663,16,1.490000000000002,4,2,7.284025244336951
3664,16,1.59,4,2,7.284025244336951
3665,16,1.8500000000000012,4,2,7.284025244336951
3666,16,1.7999999999999972,4,2,7.284025244336951
3667,16,2.009999999999998,4,2,7.284025244336951
3668,16,1.3000000000000045,4,2,7.284025244336951
3669,16,2.059999999999995,4,2,7.284025244336951
3670,16,1.9600000000000009,4,2,7.284025244336951
3671,16,1.8400000000000036,4,2,7.284025244336951
3672,16,1.949999999999996,4,2,7.284025244336951
