Unnamed: 0,Participant,MT,strategy,repetition,IDe
4029,11,3.0,3,4,6.235974916718535
4030,11,3.0500000000000007,3,4,6.235974916718535
4031,11,3.0,3,4,6.235974916718535
4032,11,3.0700000000000003,3,4,6.235974916718535
4033,11,2.68,3,4,6.235974916718535
4034,11,3.140000000000001,3,4,6.235974916718535
4035,11,2.450000000000003,3,4,6.235974916718535
4036,11,2.6300000000000026,3,4,6.235974916718535
4037,11,2.5600000000000023,3,4,6.235974916718535
4038,11,1.8599999999999997,3,4,6.235974916718535
4039,11,2.970000000000006,3,4,6.235974916718535
4040,11,2.1099999999999994,3,4,6.235974916718535
4041,11,3.779999999999994,3,4,6.235974916718535
4042,11,2.6899999999999977,3,4,6.235974916718535
4043,11,3.030000000000001,3,4,6.235974916718535
