Unnamed: 0,Participant,MT,strategy,repetition,IDe
5562,5,0.9499999999999996,4,3,5.137854727446002
5563,5,1.04,4,3,5.137854727446002
5564,5,1.4800000000000004,4,3,5.137854727446002
5565,5,1.8699999999999992,4,3,5.137854727446002
5566,5,1.3699999999999992,4,3,5.137854727446002
5567,5,1.2699999999999996,4,3,5.137854727446002
5568,5,1.4400000000000013,4,3,5.137854727446002
5569,5,1.6000000000000014,4,3,5.137854727446002
5570,5,0.8900000000000006,4,3,5.137854727446002
5571,5,1.5499999999999972,4,3,5.137854727446002
5572,5,1.1000000000000014,4,3,5.137854727446002
5573,5,1.4699999999999989,4,3,5.137854727446002
5574,5,1.8000000000000045,4,3,5.137854727446002
5575,5,0.8700000000000045,4,3,5.137854727446002
5576,5,0.8799999999999955,4,3,5.137854727446002
5577,5,1.240000000000002,4,3,5.137854727446002
5578,5,0.8100000000000023,4,3,5.137854727446002
