Unnamed: 0,Participant,MT,strategy,repetition,IDe
2524,4,0.6199999999999999,2,1,2.415678689427524
2525,4,1.1899999999999995,2,1,2.415678689427524
2526,4,0.5899999999999999,2,1,2.415678689427524
2527,4,0.4000000000000003,2,1,2.415678689427524
2528,4,0.9500000000000012,2,1,2.415678689427524
2529,4,1.2200000000000006,2,1,2.415678689427524
2530,4,0.8000000000000007,2,1,2.415678689427524
2531,4,1.1400000000000006,2,1,2.415678689427524
2532,4,0.3900000000000005,2,1,2.415678689427524
2533,4,0.9299999999999996,2,1,2.415678689427524
2534,4,1.0300000000000011,2,1,2.415678689427524
2535,4,0.9299999999999996,2,1,2.415678689427524
2536,4,1.0,2,1,2.415678689427524
2537,4,0.2800000000000011,2,1,2.415678689427524
2538,4,0.3400000000000034,2,1,2.415678689427524
2539,4,0.8399999999999963,2,1,2.415678689427524
