Unnamed: 0,Participant,MT,strategy,repetition,IDe
3838,16,1.0999999999999996,2,3,2.529942444918672
3839,16,0.7300000000000004,2,3,2.529942444918672
3840,16,1.9499999999999995,2,3,2.529942444918672
3841,16,1.7100000000000009,2,3,2.529942444918672
3842,16,1.1899999999999975,2,3,2.529942444918672
3843,16,1.2600000000000016,2,3,2.529942444918672
3844,16,1.5100000000000016,2,3,2.529942444918672
3845,16,1.639999999999997,2,3,2.529942444918672
3846,16,1.379999999999999,2,3,2.529942444918672
3847,16,1.3599999999999994,2,3,2.529942444918672
3848,16,1.7299999999999969,2,3,2.529942444918672
3849,16,0.8999999999999986,2,3,2.529942444918672
3850,16,1.6099999999999994,2,3,2.529942444918672
3851,16,1.4100000000000037,2,3,2.529942444918672
3852,16,1.470000000000006,2,3,2.529942444918672
3853,16,1.1799999999999995,2,3,2.529942444918672
3854,16,1.3699999999999974,2,3,2.529942444918672
3855,16,1.1799999999999995,2,3,2.529942444918672
3607,16,1.64,2,1,3.058971999746822
3608,16,1.910000000000001,2,1,3.058971999746822
3609,16,2.039999999999999,2,1,3.058971999746822
3610,16,1.9399999999999995,2,1,3.058971999746822
3611,16,1.5499999999999972,2,1,3.058971999746822
3612,16,1.620000000000001,2,1,3.058971999746822
3613,16,2.259999999999998,2,1,3.058971999746822
3614,16,1.6400000000000006,2,1,3.058971999746822
3615,16,1.7999999999999972,2,1,3.058971999746822
3616,16,1.4299999999999995,2,1,3.058971999746822
3617,16,1.6399999999999937,2,1,3.058971999746822
3618,16,2.0900000000000034,2,1,3.058971999746822
3619,16,1.7100000000000009,2,1,3.058971999746822
3620,16,1.3500000000000014,2,1,3.058971999746822
3621,16,1.5399999999999991,2,1,3.058971999746822
3673,16,1.58,2,2,3.5339799402923777
3674,16,1.5200000000000005,2,2,3.5339799402923777
3675,16,1.2599999999999998,2,2,3.5339799402923777
3676,16,1.6199999999999992,2,2,3.5339799402923777
3677,16,1.3100000000000005,2,2,3.5339799402923777
3678,16,1.740000000000002,2,2,3.5339799402923777
3679,16,2.09,2,2,3.5339799402923777
3680,16,1.740000000000002,2,2,3.5339799402923777
3681,16,0.9199999999999982,2,2,3.5339799402923777
3682,16,1.7900000000000027,2,2,3.5339799402923777
3683,16,1.1800000000000068,2,2,3.5339799402923777
3684,16,1.9600000000000009,2,2,3.5339799402923777
3685,16,1.5300000000000011,2,2,3.5339799402923777
3686,16,1.6700000000000017,2,2,3.5339799402923777
3687,16,1.8599999999999997,2,2,3.5339799402923777
3688,16,1.5,2,2,3.5339799402923777
3803,16,0.94,2,4,4.950520545134617
3804,16,1.3200000000000005,2,4,4.950520545134617
3805,16,1.5599999999999996,2,4,4.950520545134617
3807,16,1.549999999999999,2,4,4.950520545134617
3808,16,1.5300000000000011,2,4,4.950520545134617
3809,16,1.5800000000000018,2,4,4.950520545134617
3810,16,1.1699999999999982,2,4,4.950520545134617
3811,16,1.2199999999999989,2,4,4.950520545134617
3812,16,1.3000000000000007,2,4,4.950520545134617
3813,16,1.3999999999999986,2,4,4.950520545134617
3814,16,1.16,2,4,4.950520545134617
3815,16,1.3900000000000006,2,4,4.950520545134617
3816,16,1.3299999999999983,2,4,4.950520545134617
3817,16,1.1400000000000006,2,4,4.950520545134617
3818,16,1.3599999999999994,2,4,4.950520545134617
3819,16,1.279999999999994,2,4,4.950520545134617
3820,16,1.1899999999999975,2,4,4.950520545134617
3821,16,1.4299999999999995,2,4,4.950520545134617
