Unnamed: 0,Participant,MT,strategy,repetition,IDe
2524,4,0.6199999999999999,2,1,2.415678689427524
2525,4,1.1899999999999995,2,1,2.415678689427524
2526,4,0.5899999999999999,2,1,2.415678689427524
2527,4,0.4000000000000003,2,1,2.415678689427524
2528,4,0.9500000000000012,2,1,2.415678689427524
2529,4,1.2200000000000006,2,1,2.415678689427524
2530,4,0.8000000000000007,2,1,2.415678689427524
2531,4,1.1400000000000006,2,1,2.415678689427524
2532,4,0.3900000000000005,2,1,2.415678689427524
2533,4,0.9299999999999996,2,1,2.415678689427524
2534,4,1.0300000000000011,2,1,2.415678689427524
2535,4,0.9299999999999996,2,1,2.415678689427524
2536,4,1.0,2,1,2.415678689427524
2537,4,0.2800000000000011,2,1,2.415678689427524
2538,4,0.3400000000000034,2,1,2.415678689427524
2539,4,0.8399999999999963,2,1,2.415678689427524
2652,4,1.28,2,3,2.860671369741311
2653,4,0.8199999999999998,2,3,2.860671369741311
2654,4,0.7400000000000002,2,3,2.860671369741311
2655,4,0.5699999999999994,2,3,2.860671369741311
2656,4,1.0099999999999998,2,3,2.860671369741311
2657,4,0.8100000000000005,2,3,2.860671369741311
2658,4,0.91,2,3,2.860671369741311
2659,4,1.1799999999999995,2,3,2.860671369741311
2660,4,1.1999999999999993,2,3,2.860671369741311
2661,4,0.7600000000000016,2,3,2.860671369741311
2662,4,1.0,2,3,2.860671369741311
2663,4,0.5100000000000016,2,3,2.860671369741311
2664,4,0.7699999999999996,2,3,2.860671369741311
2665,4,0.6699999999999982,2,3,2.860671369741311
2666,4,0.4299999999999997,2,3,2.860671369741311
2667,4,0.7800000000000011,2,3,2.860671369741311
2716,4,0.3099999999999999,2,4,2.988507961164085
2717,4,0.48,2,4,2.988507961164085
2718,4,1.1000000000000003,2,4,2.988507961164085
2719,4,0.6799999999999997,2,4,2.988507961164085
2720,4,0.5500000000000007,2,4,2.988507961164085
2721,4,0.8899999999999988,2,4,2.988507961164085
2722,4,0.6900000000000013,2,4,2.988507961164085
2723,4,1.1300000000000008,2,4,2.988507961164085
2724,4,0.6199999999999992,2,4,2.988507961164085
2725,4,0.4899999999999984,2,4,2.988507961164085
2726,4,0.7100000000000009,2,4,2.988507961164085
2727,4,1.0799999999999983,2,4,2.988507961164085
2728,4,1.0700000000000005,2,4,2.988507961164085
2729,4,1.1300000000000026,2,4,2.988507961164085
2730,4,0.3599999999999994,2,4,2.988507961164085
2731,4,0.3999999999999986,2,4,2.988507961164085
2668,4,1.1800000000000002,2,2,3.212039416160022
2669,4,0.4399999999999999,2,2,3.212039416160022
2670,4,1.16,2,2,3.212039416160022
2671,4,0.8300000000000001,2,2,3.212039416160022
2672,4,0.5099999999999998,2,2,3.212039416160022
2673,4,0.4599999999999991,2,2,3.212039416160022
2674,4,0.5099999999999998,2,2,3.212039416160022
2675,4,0.6799999999999997,2,2,3.212039416160022
2676,4,0.8899999999999988,2,2,3.212039416160022
2677,4,0.5599999999999987,2,2,3.212039416160022
2678,4,0.7199999999999989,2,2,3.212039416160022
2679,4,0.629999999999999,2,2,3.212039416160022
2680,4,0.990000000000002,2,2,3.212039416160022
2681,4,0.5399999999999991,2,2,3.212039416160022
2682,4,0.9300000000000032,2,2,3.212039416160022
2683,4,0.7300000000000004,2,2,3.212039416160022
2508,4,1.0499999999999998,2,5,3.687711434906385
2509,4,1.13,2,5,3.687711434906385
2510,4,0.7000000000000002,2,5,3.687711434906385
2511,4,0.3399999999999998,2,5,3.687711434906385
2512,4,1.1500000000000004,2,5,3.687711434906385
2513,4,0.5899999999999999,2,5,3.687711434906385
2514,4,0.9499999999999992,2,5,3.687711434906385
2515,4,0.6500000000000004,2,5,3.687711434906385
2516,4,0.7100000000000009,2,5,3.687711434906385
2517,4,0.7199999999999989,2,5,3.687711434906385
2518,4,1.1000000000000014,2,5,3.687711434906385
2519,4,0.3500000000000014,2,5,3.687711434906385
2520,4,0.8099999999999987,2,5,3.687711434906385
2521,4,0.870000000000001,2,5,3.687711434906385
2522,4,0.5899999999999999,2,5,3.687711434906385
2523,4,1.1400000000000006,2,5,3.687711434906385
