participant,set,strategy,ID,IDe,MT,A,W
0,0,0,5.672425341971495,5.357164224909899,0.9204101999999998,400,8
0,0,0,5.672425341971495,5.357164224909899,0.9077148000000002,400,8
0,0,0,5.672425341971495,5.357164224909899,0.7990723000000001,400,8
0,0,0,5.672425341971495,5.357164224909899,0.8413086,400,8
0,0,0,5.672425341971495,5.357164224909899,0.9594726999999998,400,8
0,0,0,5.672425341971495,5.357164224909899,0.9589844000000001,400,8
0,0,0,5.672425341971495,5.357164224909899,1.013916,400,8
0,0,0,5.672425341971495,5.357164224909899,1.053223,400,8
0,0,0,5.672425341971495,5.357164224909899,1.040283,400,8
0,0,0,5.672425341971495,5.357164224909899,1.09375,400,8
0,0,0,5.672425341971495,5.357164224909899,1.093018,400,8
0,0,0,5.672425341971495,5.357164224909899,0.8413086,400,8
0,0,0,5.672425341971495,5.357164224909899,1.0671389999999998,400,8
0,0,0,5.672425341971495,5.357164224909899,0.800293,400,8
0,0,0,5.672425341971495,5.357164224909899,1.174072,400,8
0,0,0,5.672425341971495,5.357164224909899,0.7329102,400,8
0,0,0,5.672425341971495,5.357164224909899,0.7739258000000001,400,8
0,0,0,5.672425341971495,5.357164224909899,0.8535155999999999,400,8
0,0,0,5.672425341971495,5.357164224909899,0.9465332000000001,400,8
0,0,0,5.672425341971495,5.357164224909899,0.8005371,400,8
0,0,0,5.672425341971495,5.357164224909899,0.8540039,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9338379000000001,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9609375,400,8
0,0,0,5.672425341971495,5.364903700427042,1.253174,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9741211,400,8
0,0,0,5.672425341971495,5.364903700427042,0.90625,400,8
0,0,0,5.672425341971495,5.364903700427042,0.8269042999999999,400,8
0,0,0,5.672425341971495,5.364903700427042,1.253174,400,8
0,0,0,5.672425341971495,5.364903700427042,1.266846,400,8
0,0,0,5.672425341971495,5.364903700427042,1.040283,400,8
0,0,0,5.672425341971495,5.364903700427042,1.0810549999999999,400,8
0,0,0,5.672425341971495,5.364903700427042,1.133545,400,8
0,0,0,5.672425341971495,5.364903700427042,1.09375,400,8
0,0,0,5.672425341971495,5.364903700427042,1.173828,400,8
0,0,0,5.672425341971495,5.364903700427042,0.9599609,400,8
0,0,0,5.672425341971495,5.364903700427042,1.119873,400,8
0,0,0,5.672425341971495,5.364903700427042,1.053223,400,8
0,0,0,5.672425341971495,5.364903700427042,1.25415,400,8
